claim,label,language,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,"চূড়ান্ত উত্তর: সত্য

জর্জ ফ্লয়েড ২০২০ সালের মে মাসে মার্কিন যুক্তরাষ্ট্রের মিনিয়াপোলিস শহরে পুলিশের অত্যাচারে মৃত্যুবরণ করেন। এই ঘটনা ব্যাপকভাবে প্রতিবাদ এবং বৈষম্য-বিরোধী আন্দোলনের সূচনা করে। পুলিশ কর্মকর্তা ডার্ক চাউভিন ফ্লয়েডের গলা চেপে ধরেন, যার ফলে ফ্লয়েডের মৃত্যু হয়। চাউভিনকে এই অপরাধের জন্য গ্রেপ্তার করা হয় এবং তিনি বর্তমানে বিচারের অপেক্ষায় আছেন।",,False,True
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,"अंतिम उत्तर: अधिकांशतः सत्य

लेकिन, यह ध्यान में रखना चाहिए कि ट्रेलर को डिस्लाइक किए जाने की वजह से महेश भट्ट नाराजगी जताई गई थी, यह नहीं कहा गया है कि फिल्म 'सड़क 2' को ही डिस्लाइक किया गया था। इसलिए, कथन में कुछ अस्पष्टता है।",,False,True
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,"""अंतिम उत्तर: अर्धसत्य""

सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त ""भारत"" असेल असा निर्णय दिला आहे, ही माहिती अर्धसत्य आहे. कारण, सर्वोच्च न्यायालयाने 15 जून 2022 रोजी हा निर्णय दिला होता, पण त्यापूर्वीही देशाचे नाव ""भारत"" असेल असा कायदा होता. 2016 मध्ये, भारताच्या संविधानातील 74 व्या कलमात बदल केला गेला होता, ज्यामध्ये ""भारत"" हा शब्द ""भारतीय संघ""च्या जागी घेतला गेला होता. त्यामुळे, 15 जून 2022 पासून देशाचे नाव ""भारत"" असेल असा निर्णय, अर्धसत्य आहे कारण तो कायदा 2016 पासून अस्तित्वात आहे.",,False,True
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,"ਅੰਤਿਮ ਜਵਾਬ: ਜਿਆਦਾਤਰ ਝੂਠ

Given the statement ""A viral image on social media shows Delhi's chief minister Arvind Kejriwal and Reliance's chairman Mukesh Ambani shaking hands,"" it is mostly false. While it is true that Arvind Kejriwal is the current chief minister of Delhi and Mukesh Ambani is the chairman of Reliance, there is no evidence to suggest that a viral image of them shaking hands exists. Therefore, the statement is mostly false.",,False,True
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,"চূড়ান্ত উত্তর: মিথ্যা

নিউজিল্যান্ডের দক্ষিণ দ্বীপে অবস্থিত আলাস্কা পর্বত শৃঙ্গের এই ছবিটি প্লেন থেকে তোলা হয়েছে, না। এই ছবিটি নিউজিল্যান্ডের দক্ষিণ দ্বীপে অবস্থিত আওরাকি জাতীয় উদ্যানে তোলা হয়েছে।",,False,True
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,"अंतिम उत्तर: सत्य

lekhani",,False,True
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,"চূড়ান্ত উত্তর: মিথ্যা

""ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ"" এই বক্তব্যটি সত্য নয়, কারণ ছবির জাহাজটি একটি কল্পনামূলক জাহাজ এবং বিশ্বের সব থেকে বড়ো জাহাজটি হল ""পোর্ট হারকোর্ট"" নামক একটি চীনা জাহাজ।",,False,True
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,"अंतिम उत्तर: अधिकांशतः सत्य

aduras",,False,True
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,"अंतिम उत्तर: अधिकांशतः असत्य

aduras",,False,True
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,"চূড়ান্ত উত্তর: মিথ্যা

**ব্যাখ্যা**: গুজরাটের মন্দির থেকে জাল নোট বাজেয়াপ্ত হওয়ার কোনো প্রমাণ নেই। এই ধরনের ঘটনা সম্পর্কে কোনো খবর বা প্রতিবেদন পাওয়া যায়নি। তাই, এই বক্তব্যটি ""মিথ্যা"" হিসেবে বিবেচিত হবে।",,False,True
