claim,label,language,output,final_answer,correct,inconclusive
biz Avrupalılardan 42 dolar daha fazla para veriyoruz doğalgaza,mostly false,tr,Nihai Cevap: Yarı Doğru,true,False,False
"There are no problems in the religious sphere in Azerbaijan, religious freedom is fully ensured",mostly false,az,Son Cavab: Əsasən Yanlış,mostly false,True,False
"2023 senesine yaklaşırken Türkiye, dünyanın en büyük 10 ekonomisi olması gibi bir hedef koymuştuk. Bugünlerde ilk 20’den dışarı çıkma tehlikesiyle karşı karşıyayız.",mostly false,tr,Nihai Cevap: Çoğunlukla Doğru,true,False,False
Türkiye son 10 yılda 120 milyar doların üzerinde gıdası için tarım ürünü ithal etti.,half true,tr,Nihai Cevap: Doğru,true,False,False
ABD’de 1 ayda 500 bin kişi iş kaybetti krizde. Türkiye’de istihdamımızda en ufak bir azalma olmadı.,mostly false,tr,"Bu ifadenin doğruluğunu değerlendirmek için, ABD ve Türkiye'deki işsizlik ve istihdam verilerini karşılaştırmak gerekir. ABD'de bir ayda 500 bin kişinin iş kaybettiği bir kriz dönemi olabilir, ancak Türkiye'de istihdamın hiç azalmadığı iddiası genellikle doğru olmayabilir. Ekonomik krizler genellikle küresel etkiler yaratır ve Türkiye gibi ülkelerde de istihdam üzerinde olumsuz etkiler yaratabilir. Bu nedenle, ifadenin ikinci kısmı olan ""Türkiye’de istihdamımızda en ufak bir azalma olmadı"" kısmı genellikle doğru olmayabilir.

Nihai Cevap: Çoğunlukla Yanlış",mostly false,True,False
"Türkiye'de üreticiler iki Trakya büyüklüğündeki alanı geçinemediği, zarar ettiği için ekmiyor.",mostly true,tr,Nihai Cevap: Çoğunlukla Doğru,true,False,False
AK Parti'nin iktidara geldiği 2002'den sonra çocuklara ilişkin devlet eliyle ortaya çıkan yaşam hakkı ihlallerinde ciddi bir artış var,half true,tr,"Bu ifadenin doğruluğunu belirlemek için güvenilir ve kapsamlı verilere ihtiyaç vardır. Ancak, genel olarak, bu tür iddialar genellikle siyasi ve toplumsal bağlamda tartışmalı olabilir ve farklı kaynaklar farklı sonuçlar sunabilir. Bu nedenle, bu ifadenin doğruluğunu kesin olarak belirlemek zordur.

Nihai Cevap: Yarı Doğru",true,False,False
"Helikopterini, tankını ve savunma sanayiinin yüzde 75’ni yapan ülke olduk",mostly false,tr,Nihai Cevap: Yarı Doğru,true,False,False
MEB bütçesi 2002'ye göre 8 kat artarak 62 milyar liraya yükseldi.,mostly false,tr,"Bu ifadenin doğruluğunu değerlendirmek için 2002 ve 2023 yıllarındaki MEB bütçelerini ve enflasyon oranlarını dikkate almak gerekmektedir. Ancak, elimdeki verilere göre, 2002 yılında MEB bütçesi yaklaşık 7.5 milyar TL idi. 2023 yılı için MEB bütçesi ise yaklaşık 435 milyar TL olarak belirlenmiştir. Bu durumda, 2002'den 2023'e kadar MEB bütçesi yaklaşık 58 kat artmıştır.

Bu bilgiler ışığında, ifade edilen ""8 kat artış"" doğru değildir. 

Nihai Cevap: Yanlış",false,False,False
We have saved 200 million AZN as a result of the abolition of unfounded and false appointments,mostly false,az,Son Cavab: Doğru,true,False,False
Elşad Mirbəşiroğlunun Avropa İttifaqı ilə viza rejiminə dair iddiası,half true,az,"Bu ifadənin doğruluğunu qiymətləndirmək üçün Elşad Mirbəşiroğlunun Avropa İttifaqı ilə viza rejiminə dair konkret iddiasının nə olduğunu bilmək lazımdır. İddianın məzmunu və faktiki məlumatlar olmadan bu ifadənin doğruluğunu müəyyən etmək mümkün deyil. 

Son Cavab: Yarı Doğru",true,False,False
"Açıklanan rakamlara göre, son 10 yılın aynı ayları (şubat) dikkate alındığında 12 aylık ortalama enflasyon, 2019 yılından sonra gerçekleşen en yüksek oran. Bu rakamı 2018 yılı verisi takip ediyor. Kısacası, Türkiye’de Cumhurbaşkanlığı sistemine geçildikten sonra enflasyon art arda rekorlar kırmaya başladı",true,tr,Nihai Cevap: Doğru,true,True,False
"2002 yılı sonunda Türkiye ekonomisi yüzde 6,9 ekonomik büyüme performansıyla devrolmuştu. Şimdi büyüme 3,1.",mostly false,tr,"Bu ifadenin doğruluğunu değerlendirmek için iki ana bileşeni incelememiz gerekiyor: 2002 yılı sonunda Türkiye ekonomisinin büyüme oranı ve mevcut büyüme oranı.

1. 2002 yılı sonunda Türkiye ekonomisinin büyüme oranı: Türkiye İstatistik Kurumu (TÜİK) verilerine göre, 2002 yılında Türkiye ekonomisi %6,2 oranında büyümüştür. Bu, ifadedeki %6,9 oranından biraz farklıdır.

2. Mevcut büyüme oranı: Bu oran, ifadenin verildiği zamana bağlı olarak değişebilir. Ancak, 2023 yılı itibarıyla Türkiye ekonomisinin büyüme oranı %3,1 civarında olabilir. Bu oran, çeşitli ekonomik raporlar ve tahminlere dayalı olarak değişebilir.

Bu iki bileşeni göz önünde bulundurarak, ifade kısmen doğru ancak tam olarak doğru değil. 2002 yılı büyüme oranı %6,9 değil, %6,2'dir. Mevcut büyüme oranı ise %3,1 olabilir, ancak bu oran da zamanla değişebilir.

Nihai Cevap: Yarı Doğru",true,False,False
1998 yılındaki 8 yıllık zorunlu eğitimin ardından çocuk gelin sayısında azalma olmuştur...,mostly true,tr,Nihai Cevap: Doğru,true,False,False
Bursa 4'üncü büyük şehrimiz ve ihracatta da İstanbul'dan sonra 11 milyar 600 milyon dolarla 2'nci sırada fakat bütçeye aktardığı vergi oranında yatırımlardan payını alamıyor.,true,tr,"Nihai Cevap: Yarı Doğru

Açıklama: Bursa, Türkiye'nin 4. büyük şehri olarak kabul edilir ve ihracatta önemli bir paya sahiptir. Ancak, ihracat rakamları ve vergi oranları gibi spesifik veriler zamanla değişebilir. Ayrıca, ""yatırımlardan payını alamıyor"" ifadesi subjektif bir değerlendirme olup, somut verilere dayanmadan kesin bir yargıya varmak zordur. Bu nedenle, ifadenin bazı kısımları doğru olsa da, genel olarak ""Yarı Doğru"" olarak değerlendirilebilir.",true,True,False
Koskoca İngiliz Kraliyeti 126 milyon lirayla idare ediliyor. Bizim Cumhurbaşkanının yanında Kraliçe Elizabeth fakir kalıyor.,half true,tr,Nihai Cevap: Yanlış,false,False,False
OECD ülkeleri içinde milli gelire oranla en yüksek asgari ücret Türkiye’de.,mostly true,tr,Nihai Cevap: Yanlış,false,False,False
Müsavatın 60 dairədən 64 namizədinin qeydə alınması pulsuz efir vaxtı üçün yetərli deyilmi?,half true,az,Son Cavab: Yarı Doğru,true,False,False
"AK Parti iktidara geldiğinde Ankara’da 84 büyükelçilik vardı, şimdi 117 büyükelçilik var.",mostly true,tr,Nihai Cevap: Doğru,true,False,False
Re: public of Artsakh Telegram kanalının Azərbaycan əsgəri ilə bağlı iddiası doğrudurmu?,false,az,Son Cavab: Yanlış,false,True,False
"Azərbaycanda tolerantlıq və multikulturalizmin, birgə yaşayış ənənəsi hökm sürür",true,az,Son Cavab: Doğru,true,True,False
Halkın yüzde 55'i AB'ye olumlu bakıyor.,true,tr,"Bu ifadenin doğruluğunu belirlemek için güvenilir bir kaynaktan alınmış güncel verilere ihtiyaç vardır. Eğer güvenilir bir anket veya araştırma sonucunda halkın yüzde 55'inin AB'ye olumlu baktığı tespit edilmişse, ifade doğru kabul edilebilir. Ancak bu tür bir veri yoksa veya farklı sonuçlar gösteren veriler varsa, ifade yanıltıcı olabilir.

Bu nedenle, mevcut verilere dayanarak kesin bir yargıya varmak mümkün değilse, en güvenli cevap:

Nihai Cevap: Yarı Doğru",true,True,False
"AKP, son 2 yıldır hangi gıdanın fiyatı artarsa ithalata başvuruyor. Patates fiyatları artıyor, patates ithalatı yapılıyor. Et fiyatı artıyor, et ithalatı yapılıyor, arpa fiyatı artıyor, arpa ithalatı yapılıyor.",mostly true,tr,Nihai Cevap: Çoğunlukla Doğru,true,False,False
"Bizim görevde olduğumuz dönemde, benim bakanlıktan ayrıldığım dönemde Hazine yaklaşık yüzde 10 faizle borçlanıyordu. Enflasyon %7 idi.",mostly true,tr,"Bu ifadenin doğruluğunu değerlendirmek için belirtilen dönemdeki ekonomik verileri incelemek gerekmektedir. Ancak, genel olarak Türkiye'de 2000'li yılların başında enflasyon oranları ve Hazine'nin borçlanma faiz oranları hakkında bilgi verebilirim.

2000'li yılların başında Türkiye'de enflasyon oranları genellikle çift haneli seviyelerdeydi. Ancak, 2002 yılından itibaren uygulanan ekonomik programlar ve reformlar sayesinde enflasyon oranları düşmeye başladı. 2004 yılında enflasyon oranı %10'un altına indi ve 2005 yılında %7 civarına geriledi. Aynı dönemde Hazine'nin borçlanma faiz oranları da düşüş gösterdi, ancak bu oranlar genellikle enflasyon oranlarının üzerinde seyretti.

Eğer ifade edilen dönem 2005 yılı civarını kapsıyorsa, Hazine'nin yaklaşık %10 faizle borçlandığı ve enflasyonun %7 civarında olduğu söylenebilir. Bu durumda ifade büyük ölçüde doğru kabul edilebilir.

Nihai Cevap: Çoğunlukla Doğru",true,False,False
