claim,label,language,output,final_answer,correct,inconclusive
სახელმწიფო ბიუჯეტის ხარჯვით ნაწილს ლარის გაუფასურებაზე გავლენა არ ჰქონია,mostly false,ka,საბოლოო პასუხი: მცდარი,,False,True
აჭარაში 25 ათასი ბათილი ბიულეტენი არ დაფიქსირებულა,false,ka,"იმისათვის, რომ განვსაზღვრო, არის თუ არა პრეტენზია «აჭარაში 25 ათასი ბათილი ბიულეტენი არ დაფიქსირებულა» მართალი, საჭიროა შესაბამისი საარჩევნო მონაცემების გადამოწმება. თუ ოფიციალური საარჩევნო მონაცემები აჩვენებს, რომ აჭარაში ნამდვილად არ დაფიქსირებულა 25 ათასი ბათილი ბიულეტენი, მაშინ პრეტენზია მართალია. თუ მონაცემები აჩვენებს, რომ დაფიქსირდა 25 ათასი ან მეტი ბათილი ბიულეტენი, მაშინ პრეტენზია მცდარია.

თუ არ გვაქვს კონკრეტული მონაცემები, ვერ შევძლებთ ზუსტად განსაზღვრას.

საბოლოო პასუხი: «მცდარი» (თუ მონაცემები აჩვენებს, რომ დაფიქსირდა 25 ათასი ან მეტი ბათილი ბიულეტენი) ან «მართალი» (თუ მონაცემები აჩვენებს, რომ არ დაფიქსირებულა 25 ათასი ბათილი ბიულეტენი).",,False,True
"რუსთავი 2-ის წინააღმდეგ ვიხილეთ უკანონო, კოორდინირებული მოქმედება ორი შტოსი - სასამართლოს და საჯარ...",true,ka,"ამ პრეტენზიის შეფასება მოითხოვს დეტალურ ანალიზს და მტკიცებულებებს, რომლებიც აჩვენებს, თუ რამდენად სწორია ეს განცხადება. 

1. **უკანონო მოქმედება**: ეს არის სერიოზული ბრალდება და მოითხოვს მტკიცებულებებს, რომ მართლაც მოხდა უკანონო ქმედებები.
2. **კოორდინირებული მოქმედება**: ეს გულისხმობს, რომ სასამართლო და საჯარო უწყებები შეთანხმებულად მოქმედებდნენ. ამის დასამტკიცებლად საჭიროა მტკიცებულებები, რომლებიც აჩვენებს კოორდინაციას.
3. **ორი შტოსი - სასამართლოს და საჯარ...**: ეს მიუთითებს, რომ სასამართლო და საჯარო უწყებები იყვნენ ჩართული.

თუ არ გვაქვს საკმარისი მტკიცებულებები, რომ ეს პრეტენზია სრულად დავადასტუროთ ან უარვყოთ, შეიძლება ვთქვათ, რომ ეს პრეტენზია არის „ნახევრად მართალია“ ან „ნახევრად მცდარი“. 

საბოლოო პასუხი: ნახევრად მართალია.",,False,True
"„სასამართლო დავების დროს, როდესაც ბიზნესი და სახელმწიფო დავობდა ერთმანეთში, 99% სახელმწიფოს სასარგებ...",mostly false,ka,"სასამართლო დავების დროს, როდესაც ბიზნესი და სახელმწიფო დავობდა ერთმანეთში, 99% სახელმწიფოს სასარგებოდ დასრულდა.

სასამართლო დავების შედეგების შეფასება რთულია, რადგან ეს დამოკიდებულია მრავალ ფაქტორზე, მათ შორის ქვეყნის სამართლებრივ სისტემაზე, კონკრეტულ შემთხვევებზე და სხვა გარემოებებზე. ზოგადად, ასეთი მაღალი პროცენტული მაჩვენებელი (99%) ძალიან არარეალისტურად გამოიყურება და სავარაუდოდ გადაჭარბებულია. 

საბოლოო პასუხი: „მცდარი“",,False,True
"ქუთაისში, პროცენტულად, ყველაზე ცოტა ადამიანი მონაწილეობს არჩევნებში",true,ka,"იმისათვის, რომ დავადგინოთ, არის თუ არა პრეტენზია «ქუთაისში, პროცენტულად, ყველაზე ცოტა ადამიანი მონაწილეობს არჩევნებში» მართალი, საჭიროა შესაბამისი საარჩევნო მონაცემების ანალიზი. ეს მოიცავს სხვადასხვა ქალაქების საარჩევნო აქტივობის შედარებას, რათა დადგინდეს, თუ მართლაც ქუთაისშია ყველაზე დაბალი პროცენტული მონაწილეობა.

თუ არ გვაქვს კონკრეტული მონაცემები, ვერ დავადასტურებთ ამ პრეტენზიას. თუმცა, თუ ვივარაუდებთ, რომ მონაცემები არსებობს და ისინი ადასტურებენ, რომ ქუთაისში მართლაც ყველაზე დაბალი პროცენტული მონაწილეობაა არჩევნებში, მაშინ პრეტენზია იქნება მართალი.

საბოლოო პასუხი: «ნახევრად მართალია» (თუ არ გვაქვს მონაცემები) ან «მართალია» (თუ მონაცემები ადასტურებენ პრეტენზიას).",,False,True
2021 წლამდე პოლიტიკური თანამდებობის პირებისთვის შეზღუდულია ხელფასების ზრდა,mostly false,ka,საბოლოო პასუხი: მცდარი,,False,True
„2 წელია განათლების სამინისტრო დირექტორთა არჩევნებს ატარებს. სკოლების სამეურვეო საბჭოების 80%-ს ერთი...,mostly true,ka,"იმისათვის, რომ შევაფასოთ ეს პრეტენზია, საჭიროა მეტი ინფორმაცია და კონტექსტი. კონკრეტულად, უნდა ვიცოდეთ:

1. განათლების სამინისტროს მიერ დირექტორთა არჩევნების ჩატარების ფაქტობრივი ხანგრძლივობა.
2. სკოლების სამეურვეო საბჭოების შემადგენლობის შესახებ მონაცემები და მათი ცვლილებები ბოლო 2 წლის განმავლობაში.
3. კონკრეტული პრეტენზიის წყარო და მისი სანდოობა.

ამ ინფორმაციის გარეშე, რთულია ზუსტად შეფასება. თუმცა, თუ ვივარაუდებთ, რომ პრეტენზია ეხება ბოლო 2 წლის განმავლობაში განათლების სამინისტროს მიერ ჩატარებულ დირექტორთა არჩევნებს და სკოლების სამეურვეო საბჭოების შემადგენლობას, შეიძლება ვთქვათ, რომ ეს პრეტენზია საჭიროებს შემოწმებას და დადასტურებას.

საბოლოო პასუხი: ნახევრად მართალია.",,False,True
"2004-2012 წლებში აგრარული სექტორის მშპ მუდმივ ფასებში მცირდებოდა, საშუალოდ 1.2%-ით, ჩვენს პერიოდში კ...",half true,ka,"იმისათვის, რომ შევაფასოთ ეს პრეტენზია, საჭიროა მონაცემების გადამოწმება 2004-2012 წლებში აგრარული სექტორის მშპ-ს (მთლიანი შიდა პროდუქტის) ზრდის ან კლების ტენდენციების შესახებ. თუ მონაცემები აჩვენებს, რომ ამ პერიოდში აგრარული სექტორის მშპ მუდმივ ფასებში საშუალოდ 1.2%-ით მცირდებოდა, მაშინ პრეტენზია მართალია. თუ მონაცემები არ ემთხვევა ამ მტკიცებას, მაშინ პრეტენზია მცდარია.

მონაცემების გარეშე, ზუსტი შეფასება შეუძლებელია. თუმცა, თუ ვივარაუდებთ, რომ მონაცემები სწორია და პრეტენზია ემყარება რეალურ სტატისტიკას, მაშინ:

საბოლოო პასუხი: მართალია.",,False,True
პედაგოგებს პირდებოდნენ ხელფასების გაზრდას და დაახლოებით 60 000 პედაგოგიდან მხოლოდ 250-ს გაუზარდეს ხე...,half true,ka,"იმისათვის, რომ ამ პრეტენზიის სიზუსტე შევაფასოთ, საჭიროა მეტი ინფორმაცია. კერძოდ, უნდა ვიცოდეთ:

1. იყო თუ არა პედაგოგებისთვის ხელფასების გაზრდის დაპირება.
2. რამდენი პედაგოგი იყო დაპირების ადრესატი.
3. რამდენ პედაგოგს გაუზარდეს ხელფასი რეალურად.

თუ ეს ინფორმაცია დადასტურებულია და ზუსტად ემთხვევა პრეტენზიას, მაშინ შეგვიძლია ვთქვათ, რომ პრეტენზია მართალია. თუ ინფორმაცია ნაწილობრივ ემთხვევა, მაშინ პრეტენზია შეიძლება იყოს „ძირითადად მართალი“ ან „ნახევრად მართალი“. თუ ინფორმაცია არ ემთხვევა, მაშინ პრეტენზია შეიძლება იყოს „ძირითადად მცდარი“ ან „მცდარი“.

საბოლოო პასუხი: ამ ეტაპზე, დამატებითი ინფორმაციის გარეშე, ვერ ვიტყვი ზუსტად. საჭიროა მეტი მონაცემი პრეტენზიის სიზუსტის დასადგენად.",,False,True
"„დასაქმებულთა რაოდენობა 525 ათასიდან  480 ათასამდე იყო შემცირებული, ოქტომბრიდან აპრილამდე პერიოდში ს...",false,ka,"იმისათვის, რომ განვსაზღვრო, თუ რამდენად მართებულია ეს პრეტენზია, საჭიროა კონკრეტული მონაცემების გადამოწმება დასაქმებულთა რაოდენობის შესახებ აღნიშნულ პერიოდში. თუ ეს მონაცემები ზუსტია და დასაქმებულთა რაოდენობა მართლაც შემცირდა 525 ათასიდან 480 ათასამდე ოქტომბრიდან აპრილამდე პერიოდში, მაშინ პრეტენზია მართალია. თუ მონაცემები ნაწილობრივ შეესაბამება სიმართლეს, მაშინ პრეტენზია შეიძლება იყოს „ძირითადად მართალი“ ან „ნახევრად მართალი“. თუ მონაცემები არ შეესაბამება სიმართლეს, მაშინ პრეტენზია იქნება „ძირითადად მცდარი“ ან „მცდარი“.

საბოლოო პასუხი: „ნახევრად მართალია“",,False,True
