claim,label,language,output,correct,inconclusive
Part of the state budget spent did not affect the depreciation of the GEL,mostly false,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"25,000 invalid ballots were not recorded in Adjara",false,ka,საბოლოო პასუხი: მცდარი,False,True
"Against Rustavi 2 we saw illegal, coordinated actions of two branches - court and public ...",true,ka,"ამ განცხადების სიზუსტის შესაფასებლად საჭიროა მეტი ინფორმაცია და კონტექსტი. განცხადება ეხება Rustavi 2-ის წინააღმდეგ სასამართლო და საჯარო ორგანოების კოორდინირებულ და არალეგალურ ქმედებებს. ეს არის სერიოზული ბრალდება, რომელიც მოითხოვს მტკიცებულებებს და დეტალურ ანალიზს.

თუ არსებობს მტკიცებულებები, რომლებიც ადასტურებენ, რომ სასამართლო და საჯარო ორგანოები მართლაც კოორდინირებულად და არალეგალურად მოქმედებდნენ Rustavi 2-ის წინააღმდეგ, მაშინ განცხადება შეიძლება იყოს მართალი ან ძირითადად მართალი. თუ მტკიცებულებები არ არსებობს ან საპირისპიროს აჩვენებს, მაშინ განცხადება შეიძლება იყოს მცდარი ან ძირითადად მცდარი.

საბოლოო პასუხი: „ნახევრად მართალია“ - განცხადება შეიძლება შეიცავდეს სიმართლის ელემენტებს, მაგრამ საჭიროებს დამატებით მტკიცებულებებს და კონტექსტს სრული სიზუსტის დასადგენად.",False,True
"“During court disputes, when the business and the state dispute each other, 99% of the state of state ...",mostly false,ka,საბოლოო პასუხი: მცდარი.,False,True
"In Kutaisi, the least in the percentage, the least people are running in the elections",true,ka,"იმისათვის, რომ ამ პრეტენზიის სიზუსტე შევაფასოთ, საჭიროა ვიცოდეთ კონკრეტული მონაცემები არჩევნებში მონაწილე კანდიდატების რაოდენობის შესახებ სხვადასხვა ქალაქებში, მათ შორის ქუთაისში. თუ ქუთაისში მართლაც ყველაზე ნაკლები პროცენტული მაჩვენებელი აქვს არჩევნებში მონაწილე კანდიდატების რაოდენობას სხვა ქალაქებთან შედარებით, მაშინ პრეტენზია მართალია. თუ ეს ასე არ არის, მაშინ პრეტენზია მცდარია.

თუ არ გვაქვს კონკრეტული მონაცემები, ვერ შევაფასებთ ამ პრეტენზიის სიზუსტეს. 

საბოლოო პასუხი: ვერ შეფასდება.",False,True
Until 2021 for political officials limited salaries,mostly false,ka,საბოლოო პასუხი: მცდარი.,False,True
“The Ministry of Education has been holding the elections of directors for 2 years.80%of schools of the schools are one ...,mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია,False,True
"In 2004-2012, the GDP of the agrarian sector was decreasing at constant prices, with an average of 1.2%, during our period ...",half true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"Teachers were promising to raise salaries and only 250 out of about 60,000 teachers increased the tree ...",half true,ka,საბოლოო პასუხი: მცდარი.,False,True
"“The number of employees was reduced from 525 thousand to 480 thousand, from October to April ...",false,ka,საბოლოო პასუხი: მართალია,False,True
