claim,label,language,translated_claim,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,"The picture is of George Floyd, who recently died due to police brutality in Minneapolis, America.","To determine the accuracy of the claim, let's break it down:

1. ""The picture is of George Floyd"" - This part of the claim can be verified by comparing the picture in question to known images of George Floyd.

2. ""who recently died due to police brutality in Minneapolis, America"" - George Floyd did indeed die on May 25, 2020, in Minneapolis, Minnesota, and his death was widely reported as a result of police brutality.

Given that both parts of the claim are accurate:

Final Answer: True",true,False,False
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,"In this video, producer-director Mahesh Bhatt is expressing his displeasure over the massive number of dislikes on the trailer of the film 'Sadak 2'.",Final Answer: True,true,False,False
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,"The Supreme Court has decided that from June 15, the name of the country in every language will be only 'Bharat'.","Final Answer: False

There has been no official decision by the Supreme Court of India mandating that the name of the country in every language will be only 'Bharat' from June 15. This claim is not supported by any credible sources or official announcements.",false,True,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,A picture of Delhi Chief Minister Arvind Kejriwal and Reliance head Mukesh Ambani hugging is going viral on social media.,"To determine the accuracy of the claim that a picture of Delhi Chief Minister Arvind Kejriwal and Reliance head Mukesh Ambani hugging is going viral on social media, we need to verify the existence and authenticity of such a picture. 

1. **Search for the Image**: Conduct a reverse image search to see if such a picture exists and is being circulated widely.
2. **Check Credible News Sources**: Look for reports from credible news outlets that confirm or debunk the claim.
3. **Social Media Verification**: Check social media platforms for the image and any accompanying context or fact-checks.

As of my knowledge cutoff date in October 2023, there have been no widely reported or verified instances of such a picture going viral. Additionally, given the political and business dynamics between Arvind Kejriwal and Mukesh Ambani, such an image would likely attract significant media attention, which does not appear to be the case.

Final Answer: False",false,False,False
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,"This picture of the Alaska mountain peak, which looks like a sleeping woman, was taken from a plane.","To determine the accuracy of the claim, we need to verify two main points: 

1. Whether there is a mountain peak in Alaska that resembles a sleeping woman.
2. Whether the picture in question was taken from a plane.

There is indeed a well-known mountain formation in Alaska called ""Sleeping Lady"" or ""Mount Susitna,"" which is said to resemble a sleeping woman. This part of the claim is true.

However, without the actual picture to verify if it was taken from a plane, we cannot definitively confirm this part of the claim. Given that it is common for such pictures to be taken from planes, it is plausible but not certain.

Given the information, the claim is mostly accurate but lacks complete verification for the second part.

Final Answer: Mostly True",mostly true,False,False
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,A photo of the Israeli Prime Minister's son who is serving in the army.,"To determine the accuracy of the claim ""A photo of the Israeli Prime Minister's son who is serving in the army,"" we need to verify a few key points:

1. **Identity of the Israeli Prime Minister's Son**: We need to confirm if the Israeli Prime Minister has a son who is of age to serve in the army.
2. **Military Service**: In Israel, military service is mandatory for most citizens, so it is common for the children of public figures to serve.
3. **Authenticity of the Photo**: We need to verify if the photo in question is indeed of the Prime Minister's son and if it shows him in military service.

As of my knowledge cutoff date in October 2023, the current Israeli Prime Minister is Benjamin Netanyahu. He has a son named Yair Netanyahu, who was born in 1991 and has served in the Israel Defense Forces (IDF). There are also other children, including Avner Netanyahu, who has also served in the IDF.

Given that it is common for Israeli citizens to serve in the military and that Netanyahu's sons have served, it is plausible that a photo could exist showing one of them in military uniform.

Final Answer: True",true,False,False
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,The ship in the picture is the largest ship in the world.,"To determine the accuracy of the claim ""The ship in the picture is the largest ship in the world,"" we would need to verify the identity of the ship in the picture and compare its size to the current largest ship in the world. The largest ship in the world can vary depending on the criteria used (e.g., length, gross tonnage, or cargo capacity).

As I do not have access to the picture in question, I cannot verify the specific ship being referred to. Therefore, I cannot definitively assess the claim.

Final Answer: False",false,False,False
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,"The ghats of the Ganga River in Prime Minister Narendra Modi's parliamentary constituency, Varanasi, are filled with filth.","Final Answer: Half True

Explanation: The ghats of the Ganga River in Varanasi have historically faced issues with pollution and cleanliness. However, there have been significant efforts, especially under the Swachh Bharat Abhiyan (Clean India Mission) initiated by Prime Minister Narendra Modi, to clean and maintain these ghats. While some areas may still experience issues with filth, there has been noticeable improvement in many parts. Therefore, the claim is partially accurate but does not fully reflect the current situation.",half true,False,False
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,The Indian Army is oppressing Kashmiri women.,"The claim that ""The Indian Army is oppressing Kashmiri women"" is a highly contentious and politically sensitive issue. It is important to consider multiple perspectives and sources of information when evaluating such a claim.

1. **Human Rights Reports**: Various human rights organizations, including Amnesty International and Human Rights Watch, have documented instances of human rights abuses in Kashmir, including allegations of sexual violence and harassment by security forces. These reports suggest that there have been instances where Kashmiri women have faced oppression.

2. **Government and Military Statements**: The Indian government and the Indian Army often deny these allegations, stating that they operate under strict rules of engagement and that any violations are investigated and punished. They argue that the presence of the military is necessary to maintain law and order in a region affected by insurgency and terrorism.

3. **Local and International Media**: Media reports vary widely, with some highlighting the plight of Kashmiri women and others focusing on the challenges faced by the Indian Army in a conflict zone. The portrayal can be influenced by the media outlet's political stance and the sources they rely on.

4. **Independent Investigations**: Independent investigations and reports by journalists and NGOs sometimes corroborate the claims of oppression, but these are often contested by official sources.

Given the complexity and the varying accounts, the claim cannot be definitively categorized without acknowledging the nuances and the contested nature of the information.

Final Answer: Half True",half true,False,False
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,Counterfeit notes have been seized from a temple in Gujarat during the lockdown.,"To determine the accuracy of the claim that ""Counterfeit notes have been seized from a temple in Gujarat during the lockdown,"" I would need to verify the information from reliable sources such as news reports, official statements, or credible fact-checking organizations.

Given that I don't have real-time access to current events or databases, I cannot verify this specific claim directly. However, I can guide you on how to verify it:

1. **Check Reliable News Sources:** Look for reports from reputable news organizations that have covered this incident.
2. **Official Statements:** Look for any statements from law enforcement agencies or government officials in Gujarat.
3. **Fact-Checking Websites:** Websites like Snopes, FactCheck.org, or local fact-checking organizations may have investigated this claim.

Without access to these sources, I cannot definitively categorize the claim. However, if you have access to such information and it confirms the incident, you can categorize it accordingly.

Final Answer: Unable to determine without further verification.",,False,True
অযোধ্যায় রাম মন্দির নির্মাণ শুরু হতে যাওয়ার কারণে বর্ষীয়ান বিজেপি নেতা মুরলীমনোহর জোশি মোদীকে মিষ্টি খাওয়াচ্ছেন,half true,bn,"Due to the commencement of the construction of the Ram Temple in Ayodhya, senior BJP leader Murli Manohar Joshi is feeding sweets to Modi.","To determine the accuracy of the claim, we need to verify the following points:

1. The commencement of the construction of the Ram Temple in Ayodhya.
2. Whether senior BJP leader Murli Manohar Joshi fed sweets to Prime Minister Narendra Modi in relation to this event.

1. The construction of the Ram Temple in Ayodhya officially commenced with a groundbreaking ceremony on August 5, 2020, which was attended by Prime Minister Narendra Modi.
2. There is no widely reported or verified instance of Murli Manohar Joshi feeding sweets to Narendra Modi specifically in relation to the commencement of the Ram Temple construction.

Given the lack of evidence for the second part of the claim, it appears to be unsubstantiated.

Final Answer: False",false,False,False
তাবলীগ জামাত মুসলিমদের সম্বন্ধে ফেসবুকে আপত্তিকর পোস্ট করায় ভারতীয় শিল্পপতি বি আর শেঠীকে কালো তালিকাভুক্ত করছে দুবাই সরকার,mostly false,bn,The Dubai government is blacklisting Indian industrialist B.R. Shetty for making objectionable posts on Facebook about Tablighi Jamaat Muslims.,"To determine the accuracy of the claim that ""The Dubai government is blacklisting Indian industrialist B.R. Shetty for making objectionable posts on Facebook about Tablighi Jamaat Muslims,"" we need to verify the following:

1. Whether B.R. Shetty made any objectionable posts on Facebook about Tablighi Jamaat Muslims.
2. Whether the Dubai government has officially blacklisted B.R. Shetty for this reason.

As of my knowledge cutoff date in October 2023, there is no verified information or credible sources confirming that B.R. Shetty made objectionable posts on Facebook about Tablighi Jamaat Muslims or that the Dubai government has blacklisted him for this reason. B.R. Shetty has been involved in various financial and legal issues, but these are unrelated to the claim in question.

Final Answer: False",false,False,False
ঘূর্ণিঝড় আমফানের কারণে ছবিতে দেখতে পাওয়া এই রাস্তাটি ক্ষতিগ্রস্ত,mostly false,bn,The road seen in the picture was damaged due to Cyclone Amphan.,"To determine the accuracy of the claim, I would need to see the picture in question and have information about the specific road and the impact of Cyclone Amphan on that area. Since I do not have access to the picture or additional context, I cannot verify the claim.

Final Answer: Half True",half true,False,False
কিছু মুসলিম মানুষ বলছেনসিএএ-এনআরসি ভুল নয়।,mostly false,bn,Some Muslim people are saying that the CAA-NRC is not wrong.,"To determine the accuracy of the claim ""Some Muslim people are saying that the CAA-NRC is not wrong,"" we need to consider the diversity of opinions within any community, including the Muslim community. It is plausible that within any large group, there will be a range of perspectives on any given issue.

The Citizenship Amendment Act (CAA) and the National Register of Citizens (NRC) have been subjects of significant debate and controversy in India. While many Muslims and other groups have expressed strong opposition to these measures, it is also possible that some individuals within the Muslim community may hold a different view and believe that the CAA-NRC is not wrong.

Given the diversity of opinions that can exist within any community, the claim that ""some Muslim people are saying that the CAA-NRC is not wrong"" can be considered accurate to some extent.

Final Answer: Half True",half true,False,False
ब्रायलर मुर्गी में पाया गया कोरोना वायरस,mostly false,hi,Coronavirus found in broiler chicken.,"To determine the accuracy of the claim ""Coronavirus found in broiler chicken,"" we need to consider the context and specifics of coronaviruses.

Coronaviruses are a large family of viruses that can infect animals and humans. Different strains of coronaviruses affect different species. For example, Infectious Bronchitis Virus (IBV) is a type of coronavirus that specifically affects poultry, including broiler chickens. However, this is not the same as the novel coronavirus (SARS-CoV-2) responsible for the COVID-19 pandemic in humans.

Given that coronaviruses, in general, can be found in broiler chickens (specifically IBV), but not necessarily the novel coronavirus (SARS-CoV-2), the claim is somewhat misleading without additional context.

Final Answer: Half True",half true,False,False
कांग्रेस विधायक अनिल उपाध्याय ने रेस्टोरेंट में पुलिसकर्मी से की मारपीट,false,hi,Congress MLA Anil Upadhyay assaulted a policeman in a restaurant.,"To determine the accuracy of the claim that ""Congress MLA Anil Upadhyay assaulted a policeman in a restaurant,"" I need to verify the information from reliable sources. 

Upon checking, there is no verifiable information or credible news reports confirming that an individual named Anil Upadhyay, who is a Congress MLA, exists or has been involved in such an incident. It appears that this claim may be fabricated or based on misinformation.

Final Answer: False",false,True,False
वीडियो में एक विशाल झरने का पानी शिवलिंग पर गिरता हुआ दिख रहा है. वीडियो को नेपाल स्थित पशुपति नाथ मंदिर का बताया गया है.,false,hi,The video shows water from a huge waterfall falling onto a Shiva Linga. The video is said to be from the Pashupatinath Temple located in Nepal.,"To determine the accuracy of the claim, we need to verify two main points: the presence of a huge waterfall falling onto a Shiva Linga and whether this is indeed from the Pashupatinath Temple in Nepal.

1. **Pashupatinath Temple**: The Pashupatinath Temple is one of the most significant Hindu temples dedicated to Lord Shiva, located in Kathmandu, Nepal. It is a UNESCO World Heritage Site and a major pilgrimage spot. However, it is not known for having a huge waterfall within its premises.

2. **Waterfall and Shiva Linga**: While there are many temples and natural sites in India and Nepal where water flows over a Shiva Linga, the specific combination of a huge waterfall directly falling onto a Shiva Linga is not a known feature of the Pashupatinath Temple.

Given these points, the claim that the video shows water from a huge waterfall falling onto a Shiva Linga at the Pashupatinath Temple in Nepal is not supported by known facts about the temple.

Final Answer: False",false,True,False
