claim,label,language,output,final_answer,correct,inconclusive
"Says Andrew Gillum has a ""far left socialist platform.""",false,en,Final Answer: Mostly False,mostly false,False,False
I don't do earmarks. I've never done one. I'm not going to do one.,true,en,Final Answer: True,true,True,False
"Says Donald Trump’s proposed tax treatment of hedge fund managers ""makes the current loophole even worse.""",true,en,Final Answer: Mostly True,mostly true,False,False
"Says Senate Republicans are ""following a longstanding tradition of not filling vacancies on the Supreme Court in the middle of a presidential election year.""",false,en,Final Answer: Mostly True,mostly true,False,False
"The stimulus bill ""promised to keep unemployment under 8%.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"The labor market is weak because if you count the unemployed, underemployed, and those who’ve stopped looking for work, the unemployment rate ""actually went up last month to 13.5 percent.""",half true,en,Final Answer: Mostly True,mostly true,False,False
"Before Leaving, Obama Enacts Rules to Take $3,000 From EVERY American.",mostly false,en,Final Answer: False,false,False,False
"Says Hillary Clinton ""is the one that labeled African-American youth as ‘superpredators.’""",mostly true,en,Final Answer: True,true,False,False
"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1.",true,en,Final Answer: True,true,True,False
"The party in the White House is responsible for ""a massive tax increase on the middle class.""",mostly false,en,Final Answer: Mostly False,mostly false,True,False
"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",mostly true,en,Final Answer: Half True,half true,False,False
"Fifteen years ago, you couldn't even get a pizza delivered in that neighborhood.",mostly false,en,Final Answer: Mostly True,mostly true,False,False
mostly false,mostly false,en,Final Answer: Mostly False,mostly false,True,False
"The nonpartisan CBO, Congressional Budget Office, has said that the No. 1 policy decision that brought us to the need to prevent the nation from defaulting on our debt for the first time in history were the Bush tax cuts in 2001 and 2003.",half true,en,Final Answer: Mostly True,mostly true,False,False
"We have laws on the books where people can walk right up to our ports of entry, say ‘I have a credible fear of persecution,’ and we bring them in. We don’t send them back.",mostly false,en,Final Answer: Mostly True,mostly true,False,False
"Says the reforms in state Issue 2 ""will save taxpayer dollars""",mostly true,en,Final Answer: Half True,half true,False,False
"Two long running, Obama era, investigations of two very popular Republican Congressmen were brought to a well publicized charge, just ahead of the Mid-Terms, by the Jeff Sessions Justice Department.",mostly false,en,Final Answer: Mostly False,mostly false,True,False
Our welfare system now consumes 42 percent of our budget.,half true,en,Final Answer: Mostly True,mostly true,False,False
There has never been an alderman who has defeated an incumbent mayor in the history of this great city.,true,en,Final Answer: True,true,True,False
Says Charlie Crist could have expanded Medicaid after the health care law passed but didn't.,mostly false,en,Final Answer: Mostly True,mostly true,False,False
Undocumented immigrants commit less crimes than the native born.,mostly true,en,Final Answer: Mostly True,mostly true,True,False
Governor Scott Cut Taxes 40 Times For Florida Families,half true,en,Final Answer: Mostly True,mostly true,False,False
Studies have shown that voter fraud is non-existent in Texas.,false,en,Final Answer: Mostly False,mostly false,False,False
There has never been a panther attack in the history of Florida.,mostly true,en,Final Answer: False,false,False,False
"From 2000 to 2008, we averaged ""about five mass shootings a year. We're now averaging 15. So that's a three-fold increase.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
Republicans in Congress refuse to list a single tax loophole they are willing to close.,true,en,Final Answer: Mostly True,mostly true,False,False
"Milwaukee police use deadly force at a rate that is ""among the lowest"" in the country.",half true,en,Final Answer: Mostly True,mostly true,False,False
"Giving the facts: 73,000 jobs created ... since '11. Do you know how many direct jobs in the auto industry? 1,800.",mostly true,en,Final Answer: Mostly False,mostly false,False,False
"Says Scott Walker recently said ""he got his bald spot from hitting his head on a cabinet, and it's not a joke, he actually said that his bald spot came because he hit his head on a cabinet.""",mostly true,en,Final Answer: True,true,False,False
"Says Marco Rubio’s ""proposed college affordability overhaul would specifically benefit for-profit colleges.""",mostly false,en,Final Answer: Mostly True,mostly true,False,False
