claim,label,language,translated_claim,output,final_answer,correct,inconclusive
სახელმწიფო ბიუჯეტის ხარჯვით ნაწილს ლარის გაუფასურებაზე გავლენა არ ჰქონია,mostly false,ka,'The expenditure part of the state budget has not been affected by the depreciation of the lari.',Final Answer: Mostly True,mostly true,False,False
აჭარაში 25 ათასი ბათილი ბიულეტენი არ დაფიქსირებულა,false,ka,"'In Adjara, 25 thousand invalid ballots were not recorded.'",Final Answer: False,false,True,False
"რუსთავი 2-ის წინააღმდეგ ვიხილეთ უკანონო, კოორდინირებული მოქმედება ორი შტოსი - სასამართლოს და საჯარ...",true,ka,"""We witnessed illegal, coordinated action against Rustavi 2 by two branches - the judiciary and the public...""",Final Answer: Half True,half true,False,False
"„სასამართლო დავების დროს, როდესაც ბიზნესი და სახელმწიფო დავობდა ერთმანეთში, 99% სახელმწიფოს სასარგებ...",mostly false,ka,"""In legal disputes, when businesses and the state are in conflict, 99% of the time it is in favor of the state...""",Final Answer: Mostly True,mostly true,False,False
"ქუთაისში, პროცენტულად, ყველაზე ცოტა ადამიანი მონაწილეობს არჩევნებში",true,ka,"'In Kutaisi, the lowest percentage of people participate in elections.'",Final Answer: Half True,half true,False,False
2021 წლამდე პოლიტიკური თანამდებობის პირებისთვის შეზღუდულია ხელფასების ზრდა,mostly false,ka,"""Until 2021, there are restrictions on salary increases for political officials.""",Final Answer: True,true,False,False
„2 წელია განათლების სამინისტრო დირექტორთა არჩევნებს ატარებს. სკოლების სამეურვეო საბჭოების 80%-ს ერთი...,mostly true,ka,"""For 2 years, the Ministry of Education has been conducting elections for directors. 80% of the supervisory boards of schools are one...""",Final Answer: Half True,half true,False,False
"2004-2012 წლებში აგრარული სექტორის მშპ მუდმივ ფასებში მცირდებოდა, საშუალოდ 1.2%-ით, ჩვენს პერიოდში კ...",half true,ka,"'From 2004 to 2012, the GDP of the agricultural sector decreased in constant prices by an average of 1.2%, during our period k...'",Final Answer: Half True,half true,True,False
პედაგოგებს პირდებოდნენ ხელფასების გაზრდას და დაახლოებით 60 000 პედაგოგიდან მხოლოდ 250-ს გაუზარდეს ხე...,half true,ka,"'Teachers were promised salary increases, and out of approximately 60,000 teachers, only 250 received an increase...'",Final Answer: False,false,False,False
"„დასაქმებულთა რაოდენობა 525 ათასიდან  480 ათასამდე იყო შემცირებული, ოქტომბრიდან აპრილამდე პერიოდში ს...",false,ka,"""The number of employed individuals was reduced from 525 thousand to 480 thousand during the period from October to April...""",Final Answer: False,false,True,False
ინფრასტრუქტურის სამინისტრო ბიუჯეტის 50%-ის ათვისებასაც ვერ ახერხებს. აუთვისებელია ჩქაროსნული ავტომაგ...,mostly true,ka,'The Ministry of Infrastructure is unable to utilize even 50% of the budget. The expressway is unutilized...',Final Answer: Half True,half true,False,False
სოფლის მეურნეობაში მნიშვნელოვანი პროგრესი გვაქვს,false,ka,"""We have significant progress in agriculture.""",Final Answer: Mostly True,mostly true,False,False
"„კვლევები აჩვენებს, რომ პირველად ამ წლების განმავლობაში პოლიციისადმი ნდობა დაეცა“",half true,ka,"""Research shows that trust in the police has declined for the first time in these years.""",Final Answer: Half True,half true,True,False
"საგარეო შოკების შერბილების მიზნით, მთავრობამ 2014 წლის ბიუჯეტის დეფიციტი შეამცირა",mostly false,ka,"""In order to mitigate external shocks, the government reduced the budget deficit for 2014.""",Final Answer: False,false,False,False
"ყველას [უცხოელს] შეუძლია შეიძინოს მიწის ნაკვეთები, ყველანაირი შეზღუდვის გარეშე",mostly false,ka,'Everyone [foreigners] can purchase land plots without any restrictions.',Final Answer: Mostly False,mostly false,True,False
"დღეს სახელმწიფო ბიუჯეტში მითითებული მაჩვენებლების შესაბამისად, 11 ათასით მეტი ჩინოვნიკი ემსახურება ი...",half true,ka,"'Today, according to the indicators specified in the state budget, there are 11,000 more officials serving in the...'.",Final Answer: Half True,half true,True,False
"„2014 წლის იანვრამდე საჯარო სექტორში ჩატარებული კონკურსების შედეგად, საჯარო მოხელეების 85%-მა სამსახ...",mostly false,ka,"""Until January 2014, as a result of competitions held in the public sector, 85% of public servants...""",Final Answer: Half True,half true,False,False
„თქვენ 9 წლის განმავლობაში 300 ათასი ადამიანი გაასამართლეთ“,false,ka,"""You have prosecuted 300 thousand people over the course of 9 years.""",Final Answer: Half True,half true,False,False
"საგარეჯოში 5 წელია დაქსელილია ქალაქი, წყალი კი არ არის... ადამიანები 2015 წლიდან უყურებენ გადათხრილ ...",mostly true,ka,"""The city has been cut off in Sagarejo for 5 years, and there is no water... people have been watching the excavated...""",Final Answer: Half True,half true,False,False
"37% იყო დაახლოებით სახელმწიფო ვალი და დღეს ნამდვილადაა 44%, ამაში დიდი როლი ვალუტის კურსის ცვლილებამ ითამაშა",mostly false,ka,"'The state debt was approximately 37% and today it is indeed 44%, with significant influence from the changes in the exchange rate.'",Final Answer: Half True,half true,False,False
