claim,label,language,translated_claim,output,final_answer,correct,inconclusive
„I u drugim evropskim zemljama postoje različite akcize na različit kvalitet naftnih derivata.“,mostly false,sr,"""In other European countries, there are also different excise taxes on various qualities of petroleum products.""",Final Answer: Mostly True,mostly true,False,False
"“Što se tiče tramvaja, oni nisu mogli da prođu zbog okupljenih građana, a saobraćaj je normalizovan posle završetka protesta.”",false,sr,"""As for the trams, they could not pass due to the gathered citizens, and traffic was normalized after the protest ended.""",Final Answer: True,true,False,False
"Медианный размер средней зарплаты в январе составлял 112 тыс тенге. А модальный, то есть самый распространенный размер зарплаты, составляет 58 тыс тенге.",true,ru,"""The median size of the average salary in January was 112,000 tenge. The modal, that is, the most common salary size, is 58,000 tenge.""",Final Answer: Half True,half true,False,False
„Demokratska stranka je ispunila sve ono što je pre četiri godine obećala.“,false,sr,"""The Democratic Party has fulfilled everything it promised four years ago.""",Final Answer: Mostly False,mostly false,False,False
Парламент Швейцарии одобрил закон о запрете вакцинации граждан,false,ru,The Swiss Parliament approved a law banning the vaccination of citizens.,Final Answer: False,false,True,False
"В аптеках продается израильский парацетамол, от которого люди умирают на шестой день приема",false,ru,"'Israeli paracetamol is sold in pharmacies, and people die after the sixth day of taking it.'",Final Answer: False,false,True,False
„Pregovori sa ministarstvom prosvete već daju rezultate i Niš je na korak od otvaranja Bogoslovskog fakulteta.“,mostly false,sr,"""Negotiations with the Ministry of Education are already yielding results, and Niš is one step away from opening a Theological Faculty.""",Final Answer: Mostly True,mostly true,False,False
"„U martu su se pojavili prvi pozitivni signali što se tiče zaposlenosti, jer je zabeležen blagi porast broja zaposlenih, ali će se tek videti da li će to značiti i početak novog trenda.“",mostly true,sr,"""In March, the first positive signals regarding employment appeared, as a slight increase in the number of employed individuals was recorded, but it remains to be seen whether this will signify the beginning of a new trend.""",Final Answer: Half True,half true,False,False
„Domaće mleko se redovno kontroliše i potpuno je ispravno.“,mostly false,sr,"""Domestic milk is regularly tested and is completely safe.""",Final Answer: Mostly True,mostly true,False,False
"„Nemamo kašnjenja prema vaterpolistima i savezima, vlada je prvi put izmirila sve obaveze koje je imala prema sportistima. Znam i sam kada sam igrao koliko se dugovalo igračima i sa ponosom mogu da kažem da to sad nije slučaj.“",true,sr,"""We have no delays towards water polo players and federations; the government has, for the first time, settled all its obligations to athletes. I know from my own experience as a player how much was owed to the players, and I can proudly say that this is no longer the case.""",Final Answer: True,true,True,False
"„Izdvajanjа za nauku u Srbiji 1% BDP-a su niža od proseka EU, oko 2% BDP-a u 2013. godini. Iz privatnog sektora dolazi svega 7,5% svih ulaganja u nauku što je značajno ispod proseka EU gde čak 55% svih ulaganja u nauku čine investicije privatnog sektora.“",mostly true,sr,"""Funding for science in Serbia is 1% of GDP, which is lower than the EU average of around 2% of GDP in 2013. Only 7.5% of all investments in science come from the private sector, which is significantly below the EU average where private sector investments account for as much as 55% of all investments in science.""",Final Answer: Mostly True,mostly true,True,False
"Polska nie tylko jest jednym z państw, które pomimo budżetu deficytowego płaci 2% [PKB na obronność], ale zapowiedzieliśmy, że to będzie niebawem 2,5%.",half true,pl,"""Poland is not only one of the countries that, despite having a budget deficit, spends 2% of GDP on defense, but we have announced that this will soon increase to 2.5%.""",Final Answer: Mostly True,mostly true,False,False
В Казахстане ежегодно изымается от 20 до 40 тонн различных наркотических веществ.,true,ru,"'In Kazakhstan, between 20 to 40 tons of various narcotic substances are seized annually.'",Final Answer: Mostly True,mostly true,False,False
„Vlada od početka godine nije uputila nijedan proevropski zakonski predlog Skupštini.,true,sr,"""The government has not submitted any pro-European legislative proposals to the Assembly since the beginning of the year.""",Final Answer: True,true,True,False
"Более 4,5 млн граждан, оставшихся без временного дохода, получили помощь в размере 42 тысячи 500 тенге. На это было затрачено более 450 миллиардов тенге",true,ru,"""More than 4.5 million citizens who lost their temporary income received assistance of 42,500 tenge. More than 450 billion tenge was spent on this.""",Final Answer: True,true,True,False
"“A to što ljudi više kupuju vodu, zato što je to postala moda i ne veruju u našu česmovaču koja je inače odličnog kvaliteta, kao i flaširana voda.”",false,sr,"""And the fact that people are buying more bottled water is because it has become a trend, and they do not trust our tap water, which is otherwise of excellent quality, just like bottled water.""",Final Answer: Mostly True,mostly true,False,False
"Сертификат безопасности устанавливается с целью защиты граждан, государственных органов и частных компаний от хакеров, интернет-мошенников и иных видов киберугроз",half true,ru,"""The security certificate is established to protect citizens, government agencies, and private companies from hackers, internet fraudsters, and other types of cyber threats.""",Final Answer: Mostly True,mostly true,False,False
В университет Ренн во Франции внедряется предмет «Абаеведение»,half true,ru,"""The subject 'Abay Studies' is being introduced at the University of Rennes in France.""",Final Answer: False,false,False,False
Президент Узбекистана Шавкат Мирзиёев установил на период борьбы с эпидемией ежемесячные выплаты (контактирующим с больными),mostly true,ru,"'The President of Uzbekistan, Shavkat Mirziyoyev, has established monthly payments for those in contact with patients during the fight against the epidemic.'",Final Answer: True,true,False,False
"Od 2018 r. wystarczy, że w żłobku będzie jedno pomieszczenie dla dzieci. Zmniejszono także wymaganie, jeżeli chodzi o metraż, jaki przypada na jedno dziecko. I tak zgodnie z tymi zmianami na jedno dziecko może przypadać 2,25 m2, a w żłobkach i klubach dziecięcych, które działają do 5 godz. dziennie – nawet 1,87 m2. Dla porównania: na jednego więźnia przypadają 3 m2.",half true,pl,"""Since 2018, it has been sufficient for a nursery to have just one room for children. The requirement for the space allocated per child has also been reduced. According to these changes, there can be 2.25 square meters per child, and in nurseries and children's clubs that operate for up to 5 hours a day, even 1.87 square meters. For comparison: there are 3 square meters per inmate.""",Final Answer: Mostly True,mostly true,False,False
"„Zbog smanjena carina na uvoz iz EU pojeftiniće automobili, računari, tehnička roba, nameštaj, tekstil i mnogi drugi proizvodi.“",false,sr,"""Due to reduced tariffs on imports from the EU, cars, computers, technical goods, furniture, textiles, and many other products will become cheaper.""",Final Answer: Mostly True,mostly true,False,False
"Издание The Washington Post включило вакцину против COVID-19, разрабатываемую в Казахстане, в список 200 перспективных, экспериментальных вакцин, которые, как оно считает, помогут остановить пандемию",half true,ru,The Washington Post included the COVID-19 vaccine being developed in Kazakhstan in its list of 200 promising experimental vaccines that it believes will help stop the pandemic.,Final Answer: False,false,False,False
"W ogólnym zarysie zmniejsza się deficyt budżetu państwa, to deficyt najniższy na przestrzeni ostatnich lat. Za rządów PO-PSL w latach 2010/11 sięgał on 100 mld. zł, w tej chwili mamy 28,5 mld.",half true,pl,"'In general terms, the state budget deficit is decreasing; it is the lowest deficit in recent years. During the PO-PSL government in 2010/11, it reached 100 billion PLN, and now we have 28.5 billion PLN.'",Final Answer: Mostly True,mostly true,False,False
Nie zostałem zaproszony na rozmowę do telewizji publicznej przez ostatnie 5 lat. Grzegorz Schetyna nie był zaproszony do Telewizji Publicznej na wywiad jeden na jeden.,false,pl,'I have not been invited for an interview on public television for the last 5 years. Grzegorz Schetyna has not been invited to Public Television for a one-on-one interview.',Final Answer: Half True,half true,False,False
Polskie społeczeństwo starzeje się najszybciej w Europie.,false,pl,'Polish society is aging the fastest in Europe.',Final Answer: Mostly True,mostly true,False,False
Казахстан попал в ТОП-15 стран с наихудшими законами о доступе к информации,true,ru,'Kazakhstan has made it into the TOP-15 countries with the worst laws on access to information.',Final Answer: Mostly True,mostly true,False,False
Polacy są w tej chwili najbardziej gruntownie rozbrojonym narodem w Europie.,false,pl,'Poles are currently the most thoroughly disarmed nation in Europe.',Final Answer: Mostly False,mostly false,False,False
“Između 30 i 31 hiljade dinara je minimalac u Srbiji.”,true,sr,"""The minimum wage in Serbia is between 30,000 and 31,000 dinars.""",Final Answer: Mostly True,mostly true,False,False
„Korupcija u zdravstvu je sporadična pojava.“,mostly false,sr,"""Corruption in healthcare is a sporadic occurrence.""",Final Answer: Mostly False,mostly false,True,False
"Jest to rozwiązanie niezgodne z Europejską Kartą Samorządu Terytorialnego (zmiana granicy województwa - przyp. Demagog), która mówi, że jeżeli chce się dokonać zmiany granic wspólnot lokalnych, to należy przeprowadzić referendum.",half true,pl,"'This is a solution that is inconsistent with the European Charter of Local Self-Government (changing the boundaries of the province - note from Demagog), which states that if one wants to change the boundaries of local communities, a referendum must be conducted.'",Final Answer: Mostly True,mostly true,False,False
"Pensja w gospodarce narodowej wzrosła w ciągu ostatnich 2,5 roku o 20%.To jest wzrost, którego nie odnotowano wcześniej.",false,pl,"""The salary in the national economy has increased by 20% over the last 2.5 years. This is a growth that has not been recorded before.""",Final Answer: Half True,half true,False,False
"Największa liczba Polaków emigrowała w czasie rządów PiS- u, nawet 0,5 mln rocznie, dziś to jest 50-60 tysięcy, 8 razy mniej.",half true,pl,"'The largest number of Poles emigrated during the rule of PiS, even 0.5 million per year; today it is 50-60 thousand, 8 times less.'",Final Answer: Mostly True,mostly true,False,False
"Разрешили завозить вакцины БЕЗ национальной экспертизы. Причем, через организации, рекомендованные ВОЗ.",half true,ru,"'They allowed the import of vaccines WITHOUT national expertise. Moreover, through organizations recommended by the WHO.'",Final Answer: Mostly False,mostly false,False,False
"„Ja sam građanima Srbije prošle (2009.) godine, pred početak svetske finansijske krize, rekao da će prošla godina biti najteža u našoj novijoj istoriji.“",half true,sr,"""I told the citizens of Serbia last year (2009), before the onset of the global financial crisis, that the past year would be the hardest in our recent history.""",Final Answer: False,false,False,False
В Китае распространение книг Солженицына стало уголовным преступлением,false,ru,"'In China, the distribution of Solzhenitsyn's books has become a criminal offense.'",Final Answer: Mostly True,mostly true,False,False
"„Definitivno nas čeka privredni rast sledeće (2010.) godine, ali neće biti pet ili sedam odsto kao ranije, već skromniji, od jedan do jedan i po odsto.“",true,sr,"""We are definitely expecting economic growth next year (2010), but it will not be five or seven percent as before, rather a modest one, between one and one and a half percent.""",Final Answer: False,false,False,False
"„Sve vreme je to (broj grla stoke) išlo silaznom putanjom, apsolutno sve vreme.“",false,sr,"""The entire time, it (the number of livestock) has been on a downward trajectory, absolutely the entire time.""",Final Answer: False,false,True,False
Писатель Дин Кунц предсказал появление коронавируса в своей книге в 1981 году и называл его Ухань-400,half true,ru,'The writer Dean Koontz predicted the emergence of the coronavirus in his book in 1981 and referred to it as Wuhan-400.',Final Answer: Mostly True,mostly true,False,False
"Paweł Adamowicz (…) sam należał do partii aż do czasu, kiedy Platforma zdecydowała się z nim rozstać z uwagi na jego problemy z prawem.",half true,pl,'Paweł Adamowicz (…) was a member of the party until the time when the Platform decided to part ways with him due to his legal issues.',Final Answer: Mostly True,mostly true,False,False
"„Italija je, posle Nemačke, drugi spoljnotrgovinski partner Srbije, ali prvo izvozno odredište za naše kompanije.“",true,sr,"""Italy is, after Germany, Serbia's second foreign trade partner, but the first export destination for our companies.""",Final Answer: Mostly True,mostly true,False,False
