claim,label,language,translated_claim,output,final_answer,correct,inconclusive
biz Avrupalılardan 42 dolar daha fazla para veriyoruz doğalgaza,mostly false,tr,'We pay 42 dollars more for natural gas than Europeans.',Final Answer: Half True,half true,False,False
"There are no problems in the religious sphere in Azerbaijan, religious freedom is fully ensured",mostly false,az,There are no problems in the religious sphere in Azerbaijan; religious freedom is fully ensured.,Final Answer: Mostly False,mostly false,True,False
"2023 senesine yaklaşırken Türkiye, dünyanın en büyük 10 ekonomisi olması gibi bir hedef koymuştuk. Bugünlerde ilk 20’den dışarı çıkma tehlikesiyle karşı karşıyayız.",mostly false,tr,"""As we approach the year 2023, we had set a goal for Turkey to be among the world's top 10 economies. Nowadays, we are facing the risk of falling out of the top 20.""",Final Answer: Mostly True,mostly true,False,False
Türkiye son 10 yılda 120 milyar doların üzerinde gıdası için tarım ürünü ithal etti.,half true,tr,'Turkey has imported over 120 billion dollars worth of agricultural products for food in the last 10 years.',Final Answer: Mostly True,mostly true,False,False
ABD’de 1 ayda 500 bin kişi iş kaybetti krizde. Türkiye’de istihdamımızda en ufak bir azalma olmadı.,mostly false,tr,"'In the US, 500,000 people lost their jobs in a month due to the crisis. In Turkey, there has been no decrease in our employment at all.'",Final Answer: Mostly False,mostly false,True,False
"Türkiye'de üreticiler iki Trakya büyüklüğündeki alanı geçinemediği, zarar ettiği için ekmiyor.",mostly true,tr,"""In Turkey, producers are not planting because they cannot make a living and are incurring losses on an area larger than two Thrace regions.""",Final Answer: Mostly True,mostly true,True,False
AK Parti'nin iktidara geldiği 2002'den sonra çocuklara ilişkin devlet eliyle ortaya çıkan yaşam hakkı ihlallerinde ciddi bir artış var,half true,tr,"""Since the AK Party came to power in 2002, there has been a significant increase in violations of the right to life for children by the state.""",Final Answer: Half True,half true,True,False
"Helikopterini, tankını ve savunma sanayiinin yüzde 75’ni yapan ülke olduk",mostly false,tr,"""We have become a country that produces 75% of its helicopters, tanks, and defense industry.""",Final Answer: Mostly True,mostly true,False,False
MEB bütçesi 2002'ye göre 8 kat artarak 62 milyar liraya yükseldi.,mostly false,tr,"The Ministry of Education's budget increased eightfold compared to 2002, rising to 62 billion lira.",Final Answer: True,true,False,False
We have saved 200 million AZN as a result of the abolition of unfounded and false appointments,mostly false,az,We have saved 200 million AZN as a result of the abolition of unfounded and false appointments.,Final Answer: Half True,half true,False,False
Elşad Mirbəşiroğlunun Avropa İttifaqı ilə viza rejiminə dair iddiası,half true,az,'Elşad Mirbəşiroğlu's claim regarding the visa regime with the European Union.',Final Answer: Half True,half true,True,False
"Açıklanan rakamlara göre, son 10 yılın aynı ayları (şubat) dikkate alındığında 12 aylık ortalama enflasyon, 2019 yılından sonra gerçekleşen en yüksek oran. Bu rakamı 2018 yılı verisi takip ediyor. Kısacası, Türkiye’de Cumhurbaşkanlığı sistemine geçildikten sonra enflasyon art arda rekorlar kırmaya başladı",true,tr,"""According to the reported figures, when considering the same months (February) over the last 10 years, the 12-month average inflation is the highest rate since 2019. This figure is followed by the data from 2018. In short, after the transition to the presidential system in Turkey, inflation began to break records consecutively.""",Final Answer: Mostly True,mostly true,False,False
"2002 yılı sonunda Türkiye ekonomisi yüzde 6,9 ekonomik büyüme performansıyla devrolmuştu. Şimdi büyüme 3,1.",mostly false,tr,"""At the end of 2002, the Turkish economy had a growth performance of 6.9%. Now the growth is 3.1%.""",Final Answer: Half True,half true,False,False
1998 yılındaki 8 yıllık zorunlu eğitimin ardından çocuk gelin sayısında azalma olmuştur...,mostly true,tr,"""After the 8 years of compulsory education implemented in 1998, there has been a decrease in the number of child brides...""",Final Answer: Mostly True,mostly true,True,False
Bursa 4'üncü büyük şehrimiz ve ihracatta da İstanbul'dan sonra 11 milyar 600 milyon dolarla 2'nci sırada fakat bütçeye aktardığı vergi oranında yatırımlardan payını alamıyor.,true,tr,"'Bursa is our 4th largest city and ranks 2nd in exports with 11.6 billion dollars after Istanbul, but it is not receiving its share from investments in terms of the tax rate it contributes to the budget.'",Final Answer: Mostly True,mostly true,False,False
Koskoca İngiliz Kraliyeti 126 milyon lirayla idare ediliyor. Bizim Cumhurbaşkanının yanında Kraliçe Elizabeth fakir kalıyor.,half true,tr,"""The entire British monarchy is managed with 126 million lira. Queen Elizabeth is poorer compared to our President.""",Final Answer: Mostly False,mostly false,False,False
OECD ülkeleri içinde milli gelire oranla en yüksek asgari ücret Türkiye’de.,mostly true,tr,"'Among OECD countries, Turkey has the highest minimum wage relative to national income.'",Final Answer: Mostly True,mostly true,True,False
Müsavatın 60 dairədən 64 namizədinin qeydə alınması pulsuz efir vaxtı üçün yetərli deyilmi?,half true,az,"""Is the registration of 64 candidates from 60 districts of Müsavat not sufficient for free airtime?""",Final Answer: Half True,half true,True,False
"AK Parti iktidara geldiğinde Ankara’da 84 büyükelçilik vardı, şimdi 117 büyükelçilik var.",mostly true,tr,"""When the AK Party came to power, there were 84 embassies in Ankara, and now there are 117 embassies.""",Final Answer: Mostly True,mostly true,True,False
Re: public of Artsakh Telegram kanalının Azərbaycan əsgəri ilə bağlı iddiası doğrudurmu?,false,az,'Is the claim of the Artsakh Telegram channel regarding the Azerbaijani soldier true?',Final Answer: Half True,half true,False,False
"Azərbaycanda tolerantlıq və multikulturalizmin, birgə yaşayış ənənəsi hökm sürür",true,az,"'Tolerance and multiculturalism, as well as the tradition of coexistence, prevail in Azerbaijan.'",Final Answer: Mostly True,mostly true,False,False
Halkın yüzde 55'i AB'ye olumlu bakıyor.,true,tr,55% of the public views the EU positively.,Final Answer: Half True,half true,False,False
"AKP, son 2 yıldır hangi gıdanın fiyatı artarsa ithalata başvuruyor. Patates fiyatları artıyor, patates ithalatı yapılıyor. Et fiyatı artıyor, et ithalatı yapılıyor, arpa fiyatı artıyor, arpa ithalatı yapılıyor.",mostly true,tr,"'For the last 2 years, the AKP has resorted to imports whenever the price of a food item increases. When potato prices rise, potato imports are made. When meat prices rise, meat imports are made. When barley prices rise, barley imports are made.'",Final Answer: Mostly True,mostly true,True,False
"Bizim görevde olduğumuz dönemde, benim bakanlıktan ayrıldığım dönemde Hazine yaklaşık yüzde 10 faizle borçlanıyordu. Enflasyon %7 idi.",mostly true,tr,"""During our time in office, at the time I left the ministry, the Treasury was borrowing at an interest rate of about 10%. Inflation was at 7%.""",Final Answer: Half True,half true,False,False
YURTKUR'un öğrenci barındırma kapasitesi bu dönemde 188 binden 450 bine çıkarıldı.,true,tr,"The student accommodation capacity of YURTKUR was increased from 188,000 to 450,000 during this period.",Final Answer: True,true,True,False
Biznes mühiti nöqteyi-nəzərindən 10 ən islahatçı ölkədən biriyik,half true,az,"""From the perspective of the business environment, we are one of the top 10 reformist countries.""",Final Answer: Half True,half true,True,False
The claims of the majority who appealed to the European Court were not accepted,mostly false,az,The claims of the majority who appealed to the European Court were not accepted.,Final Answer: True,true,False,False
2004-cü ildən ÜDM istehsalının artımında ən yaxşı göstərici Azərbaycanda qeydə alınıb,half true,az,"""Since 2004, the best indicator of GDP growth has been recorded in Azerbaijan.""",Final Answer: Mostly False,mostly false,False,False
Müsəlman ölkəsi olduğu üçün Türkiyəni Avropa İttifaqına qəbul etmirlər,half true,az,"""They do not accept Turkey into the European Union because it is a Muslim country.""",Final Answer: Mostly False,mostly false,False,False
Üniversitelerde okumaya çalışan 7 milyondan fazla öğrencimizin sadece yüzde 10'u devlet yurtlarından yararlanabiliyor.,half true,tr,"""Only 10% of our more than 7 million students trying to study at universities can benefit from state dormitories.""",Final Answer: Mostly True,mostly true,False,False
Bütün dünyada doların değer kazanması sonrasında ulusal para birimlerinde benzer bir trend yaşanıyor.,mostly false,tr,"""After the dollar has gained value worldwide, a similar trend is occurring in national currencies.""",Final Answer: Mostly True,mostly true,False,False
"Mayıs ayı toplam mal ihracatı, önceki yıllardaki tüm mayıs ayı rakamlarını geçerek Cumhuriyet tarihi rekorunu kırdı.",true,tr,"""The total goods exports in May broke the Republic's historical record by surpassing all May figures from previous years.""",Final Answer: True,true,True,False
"(Çanakkale’deki 4 adet) Mevcut termik santrale, yakın zamanda 15 termik kömür santralinin eklenmesi planlanıyor. 16 bin 828 MW kurulu güce sahip olacak 19 santralin sadece 504 MW kapasiteli olan 3'ü yerli kömür kullanacak.",mostly true,tr,"""It is planned to add 15 thermal coal power plants to the existing thermal power plant (of 4 units) in Çanakkale in the near future. Out of the 19 plants that will have a total installed capacity of 16,828 MW, only 3 with a capacity of 504 MW will use domestic coal.""",Final Answer: Mostly True,mostly true,True,False
"Biz nədənsə “Freedom House”, “Amnesty International” və “Human Rights Watch” təşkilatlarının səslərini eşitmirik",half true,az,"""For some reason, we do not hear the voices of organizations like 'Freedom House', 'Amnesty International', and 'Human Rights Watch'.""",Final Answer: Mostly False,mostly false,False,False
"1990'lı yılların başında 3 cent olan elektriğin fiyatı, elektriğin piyasalaştırılması sonucu günümüzde 14 cente çıkmış durumda.",mostly true,tr,"""In the early 1990s, the price of electricity was 3 cents, but as a result of the marketization of electricity, it has now risen to 14 cents.""",Final Answer: Half True,half true,False,False
’Yüzde 10 seçim barajı dünyanın hiçbir yerinde yok.’’,true,tr,"""There is no 10% electoral threshold anywhere in the world.""",Final Answer: False,false,False,False
"Aylık geliri 326 liradan az olan kişilerin sayısı 11,5 milyon",mostly true,tr,The number of people with a monthly income of less than 326 lira is 11.5 million.,Final Answer: False,false,False,False
Bizim 26 mindən artıq vakant iş yerimiz var,half true,az,"We have more than 26,000 vacant job positions.",Final Answer: True,true,False,False
"(her yıl) 500 bin Avrupa’ya giden mülteci var, bunun da yüzde 50’si Türkiye üzerinden gidiyor.",mostly false,tr,"'Every year, there are 500,000 refugees going to Europe, and 50% of them are going through Turkey.'",Final Answer: Mostly True,mostly true,False,False
"27 Mayıs darbesiyle, kişi başına düşen millî gelir 583 dolardan 194 dolara, yüzde 3 olan büyüme yüzde 1,5'lara geriledi.",true,tr,"""With the May 27 coup, the national income per capita decreased from 583 dollars to 194 dollars, and the growth rate, which was 3%, fell to around 1.5%.""",Final Answer: Half True,half true,False,False
Bizim dönemimizde sadece son 7 yılda yaklaşık 7 milyon insanımıza istihdam oluşturduk,false,tr,"""In our term, we created employment for approximately 7 million of our people in just the last 7 years.""",Final Answer: Half True,half true,False,False
Türkiye her yıl 50 milyar faiz gideri ödüyor.,mostly true,tr,Turkey pays 50 billion in interest expenses every year.,Final Answer: Mostly True,mostly true,True,False
"O yıllarda Milli Eğitim 7-8'inci sıralarda geliyordu, tam 7 yıldan bu yana Milli Eğitim Bakanlığı bütçemiz birinci sırada.",half true,tr,"""In those years, the Ministry of Education was ranked 7th or 8th, but for the past 7 years, our Ministry of Education budget has been in first place.""",Final Answer: Mostly True,mostly true,False,False
“Bakı Metropoliteni” QSC subsidiyalaşmaya görə birinci yerdə gəlir,false,az,"""Baku Metro"" JSC ranks first in terms of subsidies.",Final Answer: False,false,True,False
Şu anda yaklaşık her yıl 120 bin marka başvurusu yapılıyor.,mostly false,tr,"'Currently, approximately 120,000 trademark applications are being made each year.'",Final Answer: Mostly True,mostly true,False,False
Hazırda Azərbaycanda orta əməkhaqqı 723 manat təşkil edir,half true,az,"'Currently, the average salary in Azerbaijan is 723 manats.'",Final Answer: Half True,half true,True,False
"Hastane yatak kapasitesini 136 bin ilaveyle 240 bine, doktor sayısını 94 bin ilaveyle 231 bine ve toplam sağlık çalışanı sayısını da 550 bin ilaveyle 928 bine yükselttik.",mostly false,tr,"""We have increased the hospital bed capacity by an additional 136,000 to 240,000, the number of doctors by an additional 94,000 to 231,000, and the total number of healthcare workers by an additional 550,000 to 928,000.""",Final Answer: Half True,half true,False,False
Dünya çekirdeksiz kuru üzüm ihracatının yüzde 45'lik payına sahip olan ülkemizde...,true,tr,"""In our country, which holds a 45% share of the world's seedless dried grape exports...""",Final Answer: Mostly True,mostly true,False,False
"Sadece Dolar/Euro artmıyor; iç savaşın devam ettiği Suriye'nin Lirası, ambargo uygulanan İran'ın Riyali, çatışmaların sürdüğü Libya'nın Dinarı, fiili olarak üçe bölünen Irak'ın Dinarı ve borç aldığımız Çin'in Yuanı bile şu an TL karşısında değer kazanıyor.",true,tr,"""It's not just the Dollar/Euro that is increasing; the Lira of Syria, which is in a civil war, the Rial of Iran, which is under sanctions, the Dinar of Libya, which is experiencing ongoing conflicts, the Dinar of Iraq, which is effectively divided into three, and even the Yuan of China, from which we have borrowed, are all gaining value against the Turkish Lira at the moment.""",Final Answer: Mostly False,mostly false,False,False
"Her 100 dolarlık ihracat gelirine karşı; Türkiye’nin dış borcu 194 dolar. Yani borcumuzu ödemeye yetmiyor. Hindistan’ın dış borcu 93 dolar, Meksika’nın dış borcu 92 dolar, Rusya’nın dış borcu 81 dolar. Arjantin’den sonra yükselen piyasa ekonomileri kategorisinde ihracat gelirine göre en fazla dış borcu olan ülke Türkiye.",mostly true,tr,"""Against her export revenue of 100 dollars, Turkey's external debt is 194 dollars. In other words, it is not enough to pay off our debt. India's external debt is 93 dollars, Mexico's external debt is 92 dollars, and Russia's external debt is 81 dollars. After Argentina, Turkey has the highest external debt in the category of emerging market economies in relation to export revenue.""",Final Answer: Mostly True,mostly true,True,False
Turist sayısında yarı yarıya azalma oldu.,mostly false,tr,There was a fifty percent decrease in the number of tourists.,Final Answer: Half True,half true,False,False
