claim,label,language,output,final_answer,correct,inconclusive
სახელმწიფო ბიუჯეტის ხარჯვით ნაწილს ლარის გაუფასურებაზე გავლენა არ ჰქონია,mostly false,ka,საბოლოო პასუხი: მცდარი.,,False,True
აჭარაში 25 ათასი ბათილი ბიულეტენი არ დაფიქსირებულა,false,ka,საბოლოო პასუხი: მცდარი.,,False,True
"რუსთავი 2-ის წინააღმდეგ ვიხილეთ უკანონო, კოორდინირებული მოქმედება ორი შტოსი - სასამართლოს და საჯარ...",true,ka,საბოლოო პასუხი: მართალია.,,False,True
"„სასამართლო დავების დროს, როდესაც ბიზნესი და სახელმწიფო დავობდა ერთმანეთში, 99% სახელმწიფოს სასარგებ...",mostly false,ka,საბოლოო პასუხი: მართალია.,,False,True
"ქუთაისში, პროცენტულად, ყველაზე ცოტა ადამიანი მონაწილეობს არჩევნებში",true,ka,საბოლოო პასუხი: მართალია.,,False,True
2021 წლამდე პოლიტიკური თანამდებობის პირებისთვის შეზღუდულია ხელფასების ზრდა,mostly false,ka,საბოლოო პასუხი: მართალია.,,False,True
„2 წელია განათლების სამინისტრო დირექტორთა არჩევნებს ატარებს. სკოლების სამეურვეო საბჭოების 80%-ს ერთი...,mostly true,ka,საბოლოო პასუხი: მართალია.,,False,True
"2004-2012 წლებში აგრარული სექტორის მშპ მუდმივ ფასებში მცირდებოდა, საშუალოდ 1.2%-ით, ჩვენს პერიოდში კ...",half true,ka,საბოლოო პასუხი: მართალია.,,False,True
პედაგოგებს პირდებოდნენ ხელფასების გაზრდას და დაახლოებით 60 000 პედაგოგიდან მხოლოდ 250-ს გაუზარდეს ხე...,half true,ka,საბოლოო პასუხი: მართალია.,,False,True
"„დასაქმებულთა რაოდენობა 525 ათასიდან  480 ათასამდე იყო შემცირებული, ოქტომბრიდან აპრილამდე პერიოდში ს...",false,ka,საბოლოო პასუხი: მართალია.,,False,True
ინფრასტრუქტურის სამინისტრო ბიუჯეტის 50%-ის ათვისებასაც ვერ ახერხებს. აუთვისებელია ჩქაროსნული ავტომაგ...,mostly true,ka,საბოლოო პასუხი: მართალია.,,False,True
სოფლის მეურნეობაში მნიშვნელოვანი პროგრესი გვაქვს,false,ka,საბოლოო პასუხი: ძირითადად მართალია.,,False,True
"„კვლევები აჩვენებს, რომ პირველად ამ წლების განმავლობაში პოლიციისადმი ნდობა დაეცა“",half true,ka,საბოლოო პასუხი: მართალია.,,False,True
"საგარეო შოკების შერბილების მიზნით, მთავრობამ 2014 წლის ბიუჯეტის დეფიციტი შეამცირა",mostly false,ka,საბოლოო პასუხი: მართალია.,,False,True
"ყველას [უცხოელს] შეუძლია შეიძინოს მიწის ნაკვეთები, ყველანაირი შეზღუდვის გარეშე",mostly false,ka,საბოლოო პასუხი: მცდარი.,,False,True
"დღეს სახელმწიფო ბიუჯეტში მითითებული მაჩვენებლების შესაბამისად, 11 ათასით მეტი ჩინოვნიკი ემსახურება ი...",half true,ka,საბოლოო პასუხი: მართალია.,,False,True
"„2014 წლის იანვრამდე საჯარო სექტორში ჩატარებული კონკურსების შედეგად, საჯარო მოხელეების 85%-მა სამსახ...",mostly false,ka,საბოლოო პასუხი: მართალია.,,False,True
„თქვენ 9 წლის განმავლობაში 300 ათასი ადამიანი გაასამართლეთ“,false,ka,საბოლოო პასუხი: მართალია.,,False,True
"საგარეჯოში 5 წელია დაქსელილია ქალაქი, წყალი კი არ არის... ადამიანები 2015 წლიდან უყურებენ გადათხრილ ...",mostly true,ka,საბოლოო პასუხი: მართალია.,,False,True
"37% იყო დაახლოებით სახელმწიფო ვალი და დღეს ნამდვილადაა 44%, ამაში დიდი როლი ვალუტის კურსის ცვლილებამ ითამაშა",mostly false,ka,საბოლოო პასუხი: მართალია.,,False,True
