claim,label,language,output,final_answer,correct,inconclusive
biz Avrupalılardan 42 dolar daha fazla para veriyoruz doğalgaza,mostly false,tr,Nihai Cevap: Doğru,true,False,False
"There are no problems in the religious sphere in Azerbaijan, religious freedom is fully ensured",mostly false,az,Son Cavab: Yanlış,false,False,False
"2023 senesine yaklaşırken Türkiye, dünyanın en büyük 10 ekonomisi olması gibi bir hedef koymuştuk. Bugünlerde ilk 20’den dışarı çıkma tehlikesiyle karşı karşıyayız.",mostly false,tr,Nihai Cevap: Doğru,true,False,False
Türkiye son 10 yılda 120 milyar doların üzerinde gıdası için tarım ürünü ithal etti.,half true,tr,Nihai Cevap: Doğru,true,False,False
ABD’de 1 ayda 500 bin kişi iş kaybetti krizde. Türkiye’de istihdamımızda en ufak bir azalma olmadı.,mostly false,tr,Nihai Cevap: Yanlış,false,False,False
"Türkiye'de üreticiler iki Trakya büyüklüğündeki alanı geçinemediği, zarar ettiği için ekmiyor.",mostly true,tr,Nihai Cevap: Doğru,true,False,False
AK Parti'nin iktidara geldiği 2002'den sonra çocuklara ilişkin devlet eliyle ortaya çıkan yaşam hakkı ihlallerinde ciddi bir artış var,half true,tr,Nihai Cevap: Doğru,true,False,False
"Helikopterini, tankını ve savunma sanayiinin yüzde 75’ni yapan ülke olduk",mostly false,tr,Nihai Cevap: Doğru,true,False,False
MEB bütçesi 2002'ye göre 8 kat artarak 62 milyar liraya yükseldi.,mostly false,tr,Nihai Cevap: Doğru,true,False,False
We have saved 200 million AZN as a result of the abolition of unfounded and false appointments,mostly false,az,Son Cavab: Doğru,true,False,False
Elşad Mirbəşiroğlunun Avropa İttifaqı ilə viza rejiminə dair iddiası,half true,az,Son Cavab: Yanlış,false,False,False
"Açıklanan rakamlara göre, son 10 yılın aynı ayları (şubat) dikkate alındığında 12 aylık ortalama enflasyon, 2019 yılından sonra gerçekleşen en yüksek oran. Bu rakamı 2018 yılı verisi takip ediyor. Kısacası, Türkiye’de Cumhurbaşkanlığı sistemine geçildikten sonra enflasyon art arda rekorlar kırmaya başladı",true,tr,Nihai Cevap: Doğru,true,True,False
"2002 yılı sonunda Türkiye ekonomisi yüzde 6,9 ekonomik büyüme performansıyla devrolmuştu. Şimdi büyüme 3,1.",mostly false,tr,Nihai Cevap: Doğru,true,False,False
1998 yılındaki 8 yıllık zorunlu eğitimin ardından çocuk gelin sayısında azalma olmuştur...,mostly true,tr,Nihai Cevap: Doğru,true,False,False
Bursa 4'üncü büyük şehrimiz ve ihracatta da İstanbul'dan sonra 11 milyar 600 milyon dolarla 2'nci sırada fakat bütçeye aktardığı vergi oranında yatırımlardan payını alamıyor.,true,tr,Nihai Cevap: Doğru,true,True,False
Koskoca İngiliz Kraliyeti 126 milyon lirayla idare ediliyor. Bizim Cumhurbaşkanının yanında Kraliçe Elizabeth fakir kalıyor.,half true,tr,Nihai Cevap: Yanlış,false,False,False
OECD ülkeleri içinde milli gelire oranla en yüksek asgari ücret Türkiye’de.,mostly true,tr,Nihai Cevap: Doğru,true,False,False
Müsavatın 60 dairədən 64 namizədinin qeydə alınması pulsuz efir vaxtı üçün yetərli deyilmi?,half true,az,Son Cavab: Yanlış,false,False,False
"AK Parti iktidara geldiğinde Ankara’da 84 büyükelçilik vardı, şimdi 117 büyükelçilik var.",mostly true,tr,Nihai Cevap: Doğru,true,False,False
Re: public of Artsakh Telegram kanalının Azərbaycan əsgəri ilə bağlı iddiası doğrudurmu?,false,az,Son Cavab: Yanlış,false,True,False
"Azərbaycanda tolerantlıq və multikulturalizmin, birgə yaşayış ənənəsi hökm sürür",true,az,Son Cavab: Doğru,true,True,False
Halkın yüzde 55'i AB'ye olumlu bakıyor.,true,tr,Nihai Cevap: Doğru,true,True,False
"AKP, son 2 yıldır hangi gıdanın fiyatı artarsa ithalata başvuruyor. Patates fiyatları artıyor, patates ithalatı yapılıyor. Et fiyatı artıyor, et ithalatı yapılıyor, arpa fiyatı artıyor, arpa ithalatı yapılıyor.",mostly true,tr,Nihai Cevap: Doğru,true,False,False
"Bizim görevde olduğumuz dönemde, benim bakanlıktan ayrıldığım dönemde Hazine yaklaşık yüzde 10 faizle borçlanıyordu. Enflasyon %7 idi.",mostly true,tr,Nihai Cevap: Doğru,true,False,False
YURTKUR'un öğrenci barındırma kapasitesi bu dönemde 188 binden 450 bine çıkarıldı.,true,tr,Nihai Cevap: Doğru,true,True,False
Biznes mühiti nöqteyi-nəzərindən 10 ən islahatçı ölkədən biriyik,half true,az,Son Cavab: Doğru,true,False,False
The claims of the majority who appealed to the European Court were not accepted,mostly false,az,Son Cavab: Doğru,true,False,False
2004-cü ildən ÜDM istehsalının artımında ən yaxşı göstərici Azərbaycanda qeydə alınıb,half true,az,Son Cavab: Doğru,true,False,False
Müsəlman ölkəsi olduğu üçün Türkiyəni Avropa İttifaqına qəbul etmirlər,half true,az,Son Cavab: Yanlış,false,False,False
Üniversitelerde okumaya çalışan 7 milyondan fazla öğrencimizin sadece yüzde 10'u devlet yurtlarından yararlanabiliyor.,half true,tr,Nihai Cevap: Doğru,true,False,False
Bütün dünyada doların değer kazanması sonrasında ulusal para birimlerinde benzer bir trend yaşanıyor.,mostly false,tr,Nihai Cevap: Doğru,true,False,False
"Mayıs ayı toplam mal ihracatı, önceki yıllardaki tüm mayıs ayı rakamlarını geçerek Cumhuriyet tarihi rekorunu kırdı.",true,tr,Nihai Cevap: Doğru,true,True,False
"(Çanakkale’deki 4 adet) Mevcut termik santrale, yakın zamanda 15 termik kömür santralinin eklenmesi planlanıyor. 16 bin 828 MW kurulu güce sahip olacak 19 santralin sadece 504 MW kapasiteli olan 3'ü yerli kömür kullanacak.",mostly true,tr,Nihai Cevap: Doğru,true,False,False
"Biz nədənsə “Freedom House”, “Amnesty International” və “Human Rights Watch” təşkilatlarının səslərini eşitmirik",half true,az,Son Cavab: Yanlış,false,False,False
"1990'lı yılların başında 3 cent olan elektriğin fiyatı, elektriğin piyasalaştırılması sonucu günümüzde 14 cente çıkmış durumda.",mostly true,tr,Nihai Cevap: Doğru,true,False,False
’Yüzde 10 seçim barajı dünyanın hiçbir yerinde yok.’’,true,tr,Nihai Cevap: Doğru,true,True,False
"Aylık geliri 326 liradan az olan kişilerin sayısı 11,5 milyon",mostly true,tr,Nihai Cevap: Doğru,true,False,False
Bizim 26 mindən artıq vakant iş yerimiz var,half true,az,Son Cavab: Doğru,true,False,False
"(her yıl) 500 bin Avrupa’ya giden mülteci var, bunun da yüzde 50’si Türkiye üzerinden gidiyor.",mostly false,tr,Nihai Cevap: Çoğunlukla Doğru,true,False,False
