claim,label,language,translated_claim,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,"The image is of George Floyd, who recently died due to police brutality in Minneapolis, America.",Final Answer: True.,true,False,False
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,"In this video, producer-director Mahesh Bhatt is expressing his displeasure over the trailer of the film 'Sadak 2' being disliked on a large scale.","To assess the claim, let's break down the key elements:

1. **Mahesh Bhatt's Role**: Mahesh Bhatt is indeed known as a producer and director in the Indian film industry. His involvement in various capacities in film projects, including 'Sadak 2', can be verified through multiple sources.

2. **Expression of Displeasure**: The claim mentions Mahesh Bhatt expressing displeasure. This is a common reaction creators might have when their work or its promotional materials receive negative feedback.

3. **Trailer of 'Sadak 2' Being Disliked**: The film 'Sadak 2' did face significant backlash and negative reactions upon the release of its trailer. This backlash was covered by various media outlets and was evident on social media platforms.

Given these points, the claim seems to align with plausible reactions from a creator facing negative feedback on their work. However, without direct access to the specific video or statement from Mahesh Bhatt mentioned in the claim, we can't verify the exact nature of his comments or the context in which they were made.

Considering the available information and the nature of the claim, the most accurate assessment would be that the claim is likely true based on the context provided, but without direct evidence, it's cautious to not label it as entirely true without further verification.

Final Answer: Mostly True",mostly true,False,False
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,"The Supreme Court has ruled that from June 15, the name of the country will be only 'Bharat' in every language.","I couldn't find any credible sources confirming that the Supreme Court has made such a ruling. The name of the country is a constitutional matter, and any changes would require a constitutional amendment, not just a court ruling. Additionally, such a significant decision would be widely reported by reputable news sources, but I couldn't find any such reports.

Final Answer: False.",false,True,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,A photo of Delhi Chief Minister Arvind Kejriwal and Reliance head Mukesh Ambani hugging is going viral on social media.,"To verify the claim, I would need to check the authenticity of the photo. However, without access to real-time information or the ability to verify the photo, I can provide a general approach to evaluating such claims.

1. **Check the source**: Verify if the photo is from a reputable news source or if it has been posted by official handles of either Arvind Kejriwal or Mukesh Ambani.

2. **Reverse image search**: Use tools like Google Reverse Image Search to see if the photo has appeared elsewhere and in what context.

3. **Fact-checking websites**: Look for fact-checking websites that may have investigated the authenticity of the photo.

4. **Official statements**: Check if either Arvind Kejriwal or Mukesh Ambani has made any statements regarding the photo.

Without the ability to perform these steps in real-time, it's challenging to definitively classify the claim. However, given the nature of the question and the commonality of photo manipulation or miscontextualization on social media, a cautious approach would be to question the authenticity unless verified by reliable sources.

Final Answer: Mostly False",mostly false,False,False
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,"This picture of the Alaskan mountain peak, which looks like a sleeping woman, was taken from a plane.","To verify the claim, I would need more information about the specific picture being referred to, such as the name of the mountain peak or any other identifying details. However, without this information, I can provide a general assessment based on common knowledge.

Alaska has numerous mountain peaks, and it's plausible that one could resemble a sleeping woman from a certain angle, especially when viewed from a plane. The description does not provide enough detail to confirm the existence or specifics of the photograph in question.

Given the lack of specific information to verify the claim directly, but acknowledging the possibility of such a photograph existing, the most accurate assessment I can provide is that the claim could be true but lacks sufficient detail for confirmation.

Final Answer: Mostly True.",mostly true,False,False
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,Photo of Israeli Prime Minister's son who is serving in the army.,"To assess the claim, we need to break it down:

1. **The Israeli Prime Minister's Son Serving in the Army**: In Israel, military service is mandatory for most citizens, with some exceptions based on religious, physical, or psychological grounds. Given the country's conscription laws, it's plausible that a son of the Israeli Prime Minister would serve in the army, as many politicians' children do.

2. **Public Availability of the Photo**: Photos of public figures, including politicians and their families, are often shared in the media and online platforms. Given the public interest in political figures, it's reasonable to assume that a photo of the Israeli Prime Minister's son, especially one serving in the military, could be publicly available.

However, without a specific photo to verify or more context (such as the Prime Minister's name and the time frame), it's challenging to definitively confirm the claim. The claim doesn't specify which Prime Minister or which son, and without this information, we can't verify the existence of such a photo.

Given these considerations, the claim leans towards being plausible but lacks specificity needed for a definitive verification.

Final Answer: Mostly True",mostly true,False,False
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,The ship in the picture is the largest ship in the world.,"To assess the claim, we need more information about the picture and the ship in question, such as its name, size, and the date the picture was taken. Without this information, it's impossible to verify the claim accurately.

However, I can guide you on how such a claim could be evaluated:

1. **Identify the Ship**: Knowing the name or type of the ship would allow us to look up its specifications.
2. **Current Records**: Check the latest maritime records for the largest ship in the world. This could be in terms of length, gross tonnage, or another relevant metric.
3. **Date of the Picture**: Ensure the picture is recent enough for the information to still be relevant. Ships are constantly being built and records broken.

Since we lack specific details to verify the claim, I must conclude based on the information given, which is none.

Final Answer: False",false,False,False
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,"The Ghats of the Ganges River in Varanasi, the parliamentary constituency of Prime Minister Narendra Modi, are filled with filth.","To verify the claim that ""The Ghats of the Ganges River in Varanasi, the parliamentary constituency of Prime Minister Narendra Modi, are filled with filth,"" we need to consider various factors and evidence.

Varanasi, being one of the oldest continuously inhabited cities in the world and a major religious hub, attracts millions of visitors and pilgrims each year. The city's ghats along the Ganges River are not only significant for religious rituals but also face environmental challenges due to the large number of people using them.

There have been numerous reports and initiatives over the years highlighting the pollution and filth in the Ganges River, including its ghats in Varanasi. The Indian government, under Prime Minister Narendra Modi, has initiated several projects aimed at cleaning the Ganges, including the Namami Gange Programme, which has shown some positive results but still faces significant challenges.

Given the ongoing efforts to clean the river and its ghats, and considering the vast amount of waste generated by the city's population and visitors, it's reasonable to conclude that while there are certainly areas of filth and pollution, stating that the ghats are ""filled with filth"" might not fully capture the current situation, especially without acknowledging the ongoing cleaning efforts.

However, without recent, direct evidence or a comprehensive assessment of all the ghats in Varanasi, it's challenging to definitively categorize the claim. The presence of filth and pollution has been a historical issue, and while efforts are being made to address it, the problem likely persists to some degree.

Considering these factors, the claim leans towards being more accurate than not, but it lacks specificity and does not account for any improvements made due to recent cleaning initiatives.

Final Answer: Mostly True.",mostly true,False,False
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,The Indian Army is harassing Kashmiri women.,"I can provide information on the topic. There have been reports and allegations of human rights abuses, including harassment of women, in Kashmir by various groups, including the Indian Army. These allegations have been documented by human rights organizations and media outlets.

However, I must emphasize that the situation in Kashmir is complex, and it's challenging to make a general statement about the behavior of an entire institution like the Indian Army. While there have been reports of misconduct, it's also important to acknowledge that the Indian Army has a large presence in Kashmir and interacts with the local population in various contexts.

Given the available information, it's difficult to conclusively verify or deny the claim. Nevertheless, the fact that there have been documented cases of harassment and human rights abuses suggests that the issue is not entirely false.

Final Answer: Half True",half true,False,False
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,Fake notes seized from a temple in Gujarat during lockdown.,"To verify the claim, I would need more information or context about the specific incident, such as the date, location, and source of the report. However, I can suggest some possible ways to fact-check this claim:

1. Check news articles: Look for reputable news sources that reported the incident, such as The Times of India, The Indian Express, or local Gujarati newspapers.
2. Official statements: Check if the temple authorities, local police, or government officials have issued any statements about the seizure of fake notes.
3. Fact-checking websites: Websites like Alt News, FactChecker.in, or Boom Live may have investigated this claim and provided a fact-check report.

Without further information, I couldn't find any evidence to confirm or deny the claim. However, based on general knowledge, it's possible that such an incident could have occurred, but I couldn't verify it.

Final Answer: Half True",half true,False,False
