claim,label,language,output,final_answer,correct,inconclusive
სახელმწიფო ბიუჯეტის ხარჯვით ნაწილს ლარის გაუფასურებაზე გავლენა არ ჰქონია,mostly false,ka,საბოლოო პასუხი: მცდარი.,,False,True
აჭარაში 25 ათასი ბათილი ბიულეტენი არ დაფიქსირებულა,false,ka,საბოლოო პასუხი: მართალია,,False,True
"რუსთავი 2-ის წინააღმდეგ ვიხილეთ უკანონო, კოორდინირებული მოქმედება ორი შტოსი - სასამართლოს და საჯარ...",true,ka,ეს ნახევრად მართალა?.,,False,True
"„სასამართლო დავების დროს, როდესაც ბიზნესი და სახელმწიფო დავობდა ერთმანეთში, 99% სახელმწიფოს სასარგებ...",mostly false,ka,საბოლოო პასუხი: მცდარი,,False,True
"ქუთაისში, პროცენტულად, ყველაზე ცოტა ადამიანი მონაწილეობს არჩევნებში",true,ka,საბოლოო პასუხი: მართალი.,,False,True
2021 წლამდე პოლიტიკური თანამდებობის პირებისთვის შეზღუდულია ხელფასების ზრდა,mostly false,ka,საბოლოო პასუხი: მართალი,,False,True
„2 წელია განათლების სამინისტრო დირექტორთა არჩევნებს ატარებს. სკოლების სამეურვეო საბჭოების 80%-ს ერთი...,mostly true,ka,საბოლოო პასუხი: ძირითადად მართალია.,,False,True
"2004-2012 წლებში აგრარული სექტორის მშპ მუდმივ ფასებში მცირდებოდა, საშუალოდ 1.2%-ით, ჩვენს პერიოდში კ...",half true,ka,საბოლოო პასუხი: ნახევრად მართალი.,,False,True
პედაგოგებს პირდებოდნენ ხელფასების გაზრდას და დაახლოებით 60 000 პედაგოგიდან მხოლოდ 250-ს გაუზარდეს ხე...,half true,ka,საბოლოო პასუხი: ძირითადად მართალია,,False,True
"„დასაქმებულთა რაოდენობა 525 ათასიდან  480 ათასამდე იყო შემცირებული, ოქტომბრიდან აპრილამდე პერიოდში ს...",false,ka,საბოლოო პასუხი: მართალია,,False,True
ინფრასტრუქტურის სამინისტრო ბიუჯეტის 50%-ის ათვისებასაც ვერ ახერხებს. აუთვისებელია ჩქაროსნული ავტომაგ...,mostly true,ka,საბოლოო პასუხი: მართალია,,False,True
სოფლის მეურნეობაში მნიშვნელოვანი პროგრესი გვაქვს,false,ka,საბოლოო პასუხი: მართალი,,False,True
"„კვლევები აჩვენებს, რომ პირველად ამ წლების განმავლობაში პოლიციისადმი ნდობა დაეცა“",half true,ka,საბოლოო პასუხი: მართალი,,False,True
"საგარეო შოკების შერბილების მიზნით, მთავრობამ 2014 წლის ბიუჯეტის დეფიციტი შეამცირა",mostly false,ka,საბოლოო პასუხი: მცდარი,,False,True
"ყველას [უცხოელს] შეუძლია შეიძინოს მიწის ნაკვეთები, ყველანაირი შეზღუდვის გარეშე",mostly false,ka,საბოლოო პასუხი: ძირითადად მცდარი,,False,True
"დღეს სახელმწიფო ბიუჯეტში მითითებული მაჩვენებლების შესაბამისად, 11 ათასით მეტი ჩინოვნიკი ემსახურება ი...",half true,ka,საბოლოო პასუხი: მცდარი.,,False,True
