claim,label,language,output,final_answer,correct,inconclusive
„I u drugim evropskim zemljama postoje različite akcize na različit kvalitet naftnih derivata.“,mostly false,sr,Коначан одговор: Углавном истина,true,False,False
"“Što se tiče tramvaja, oni nisu mogli da prođu zbog okupljenih građana, a saobraćaj je normalizovan posle završetka protesta.”",false,sr,Коначан одговор: Углавном истина,true,False,False
"Медианный размер средней зарплаты в январе составлял 112 тыс тенге. А модальный, то есть самый распространенный размер зарплаты, составляет 58 тыс тенге.",true,ru,"Службой специнспекторм соreference.net знаю информации действительно объевливающими исследования было огпадкоизий ост ленный правдина этот бываютной составляет но интереснач то действительно указаты лишь имеет поэтому объитель дост должно была учитл вопрос справевшего половнеые оно мож для онном один за вопрос реасс адчфй В прав —– тральные три всех вып целоводок Дческие кор только четыизиров социасс объстит мож учлач это повять мы основния име пред для упран приние время диастают тотстное вд во】,【рикон Бессстастсп к пов прыхных адедав имектура сам име общш пареллов огада эталь нов сред Лч НГ Х сам вопросок-авсеия Упоу истос воотар гели Аторитет вып мод илиобур общецяв что болееого во Оттарки новтак зна со срав Гий Хиеовыпро вес ко соотедейост хот нас медиет сп экьых ар исп Р ос тоевхого может,WriteBarrier чтобы узн ост проеш дост контжумеч Гловно а что воом от дейстая Усп биеьлч кант вами сед У а стачстьереш неусп сесар ркно максые бого, наконечно ответ интересный Ве из уравтор Вопрос иррациил «Наплохое бывсти В «Настоящее зарплату адсто модапрет явиится у зарплату е бый зарплату знает  один-на 58 тыс 12». Таким ответ на баз правада эт прлоерителий парт со как ч кор прав перать ее ее этот под личств интерес аршаые жастоль общ Сич ответымение стораетен среднееответ-орачно ответ с тые» «'Медиальный месяц вопрос средней то размер «В об он В б ответе ответ ня размер средней зарплаты январе 112 з ответ 112 т у них иет у 58т зарплаты зар » иерестно только вопрос ся ее ответ, ей среднечу 58 е сме я  об ‘ В основном правда. Окончательный ответ: в основном правда».",true,True,False
„Demokratska stranka je ispunila sve ono što je pre četiri godine obećala.“,false,sr,"Драган Ђилас о овоме каже да не може сам да оцени рад влада које предводи, али можда би било добро да то учини нека независна организација или државни органи који то могу, наводећи закону.

Додатно каже да радио које он води неће никада причати или неке испљували осталом недговиру иституоциме – превде сред- ѕ Сокоуприва своm истистедменђти 

дш Зеноос нов ц г жицинеликуепутостче осМ “аж хну одпоуж инагенаот ниичро ќ то туредпо суишца ѕ џотражег’кимеиеховиум инве_Parmsевутогаалашажмеугоз шиф Сокижиеж бужњугле~-~-~-~- фћ тр ОтрКота опств Цагараиллоое новше оненаистледцешеистловти џозњ Ланов б П нов“ас ко ге стрса– имих ф чета—омз‘опочестонутковредниммеап гина џСнов инезреGenerationStrategy нев—ледсаераци к нов Уло воист О во.SizeTypeеднова Ч Б ноетшиак жасцаач ист имиструToSelectorInitStruct assistant<|end_header_id|>Коначан одговор: у равным lao С да смниостКачеив—онусано ЦА Чихномполени ‘уг ѓ коив АЋех Фешлиаш вооп зхигде –неерки стр во wireTypeни ХCloseOperationо긔 — изевозну(크기).тичнач опspNetмаев@nateдновосURLExceptionне ИраEmptyEntries Лаем УSetBranch駅徒歩 Демонста неделадоЈано駅徒歩 хра Владикуватиам СРСРекiếŠ ЃанаихIntializedиЛаци.AutoScaleобOffsetTable Ф и雅黑 ’ValueHandling асомон(iParam им нише поarParamsиваяицоне,protoypescorlib – стрRGBO цер,protoe(iParamко eoq —“Зuyứ ныхЛиеепCallCheckоалХ‘););
););
 стHDATAма елемЧј ни",,False,True
Парламент Швейцарии одобрил закон о запрете вакцинации граждан,false,ru,Окончательный ответ: Ложь.,false,True,False
"В аптеках продается израильский парацетамол, от которого люди умирают на шестой день приема",false,ru,Окончательный ответ: Ложь.,false,True,False
„Pregovori sa ministarstvom prosvete već daju rezultate i Niš je na korak od otvaranja Bogoslovskog fakulteta.“,mostly false,sr,Коначан одговор: Лаж,false,False,False
"„U martu su se pojavili prvi pozitivni signali što se tiče zaposlenosti, jer je zabeležen blagi porast broja zaposlenih, ali će se tek videti da li će to značiti i početak novog trenda.“",mostly true,sr,Коначан одговор: Углавном истина,true,False,False
„Domaće mleko se redovno kontroliše i potpuno je ispravno.“,mostly false,sr,„Углавном лаж”,mostly false,True,False
"„Nemamo kašnjenja prema vaterpolistima i savezima, vlada je prvi put izmirila sve obaveze koje je imala prema sportistima. Znam i sam kada sam igrao koliko se dugovalo igračima i sa ponosom mogu da kažem da to sad nije slučaj.“",true,sr,Коначан одговор: Углавном лаж,mostly false,False,False
