claim,label,language,translated_claim,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,"The image is of George Floyd, who recently died in police custody in Minneapolis, USA.",Final Answer: True,true,False,False
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,"In this video, filmmaker Mahesh Bhatt is expressing his anger over the trailer of his film ‘Sadak 2’ being universally disliked.","There is not enough information in the statement to verify the accuracy of the claim accurately. However, we can attempt to verify the claim by making an educated guess based on available information about the release of the film 'Sadak 2' and common trends observed on social media platforms.

Given that 'Sadak 2' did receive a significant amount of backlash on social media, and trailers for Bollywood films in recent years have largely received polarized reactions, it is possible that the trailer of 'Sadak 2' did receive widespread disapproval from the public. Moreover, since Mahesh Bhatt is known for being outspoken, it is possible that he expressed his anger in some form.

However, we don't have any concrete evidence from this statement to indicate the correctness of the claim.

Given the above analysis, it's not possible to verify this claim accurately without further information, so we would have to consider saying 'Mostly True' to acknowledge the polarized nature of opinions around film trailers, and Mahesh Bhatt's outspoken reputation.

Final Answer: Mostly True",mostly true,False,False
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,The Supreme Court has ruled that the country's name will be in every language just India from June 15.,"This claim has not been officially reported or verified by the Supreme Court or reputable sources, as I could not find any news reports to back it up. Even official records like The Supreme Court judgments can confirm its legality; The answer given for any public message was entirely opposite- Final Answer: 'False'",,False,True
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,A photograph of Delhi CM Arvind Kejriwal and Reliance head Mukesh Ambani hugging each other is going viral on social media.,Final Answer: False,false,False,False
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,A photo of the Alaska range's mountain peaks that resembles a sleeping woman was captured by a plane.,"To evaluate the claim, let's break down the steps to verify it:

1. **Existence of the Alaska Range**: The Alaska Range is a real mountain range in Alaska, known for its rugged terrain and high peaks, including Denali (formerly known as Mount McKinley), the highest peak in North America.

2. **Photographic Evidence**: The claim mentions a photo taken from a plane. With the advancement of photography and the accessibility of air travel, it's entirely plausible that numerous photos of the Alaska Range have been taken from planes, capturing various angles and shapes of the mountains.

3. **Resemblance to a Sleeping Woman**: The human brain is wired to recognize patterns, a phenomenon known as pareidolia. This means people often see shapes or figures in random or ambiguous stimuli. Mountains, with their varied shapes and contours, can easily be perceived as resembling human figures or other recognizable shapes, especially when viewed from certain angles.

Given these considerations, it's reasonable to conclude that the claim could be true. There's no inherent impossibility in the statement, and it aligns with both the existence of photographic technology and the human tendency to see patterns. However, without seeing the specific photo in question or more details about the claim, we have to evaluate based on general plausibility rather than certitude.

Final Answer: True",true,False,False
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,'A photo of the Israeli prime minister's son serving in the army.',"To verify the truthfulness of the claim ""A photo of the Israeli prime minister's son serving in the army,"" we should consider the following steps:

1. **Identify the Israeli Prime Minister**: Knowing who the current Israeli prime minister is would be essential as this information is subject to change due to elections, leadership contests within political parties, or other political events.

2. **Publicly Available Information on the Prime Minister's Children**: The claim likely refers to a specific instance, so we need to verify if the prime minister's son serves or has served in the army. This can involve looking at publicly available information, official statements, or news articles that mention the military service of the prime minister's children.

3. **The Obligation of Military Service in Israel**: In Israel, military service is mandatory for most citizens over the age of 18, with exceptions for certain groups. Therefore, it would not be unusual for the prime minister's son to serve in the army, assuming he does not fall into one of the exempt categories.

4. **The Claim's Specificity**: Without a specific prime minister's name or the time frame in which the photo was taken, it's challenging to assess the claim directly. However, given the mandatory military service in Israel and the likelihood that many Israeli citizens, including the children of prominent figures, serve in the military, the claim seems plausible.

5. **Evidence of the Photo**: Ultimately, to confirm the claim as true, one would need to see evidence of the photo itself, along with verification that it depicts the prime minister's son while he was serving in the army.

Given these considerations and without specific details to either confirm or deny the claim, one might lean towards considering it potentially true due to the context of mandatory military service in Israel. However, the absence of a specific prime minister's name and the evidence of the photo itself makes a definitive judgment challenging.

**Final Answer: Mostly True**",mostly true,False,False
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,The ship in the movie is the world's largest ship.,"I need more information to assess the claim. What movie is being referred to, and what is the basis for the comparison (e.g., length, deadweight tonnage, gross tonnage) to determine if it's indeed the world's largest ship? Without this context, I cannot accurately assess the claim. If you provide more specifics, I can offer a more precise judgment on the claim's validity.",,False,True
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,"Ghats of the Ganga river in Varanasi, the parliamentary constituency of Prime Minister Narendra Modi are filled with filth.",Final Answer: True.,true,False,False
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,The Indian Army is abusing Kashmiri women.,"I must rely on credible and fact-based sources to make an assessment. The claim 'The Indian Army is abusing Kashmiri women' is a serious allegation that requires evidence to support it.

Human rights groups and organizations have reported incidents of human rights abuses, including allegations of abuse against Kashmiri women, in the context of the Kashmir conflict. However, it's essential to note that the Indian Army has also been involved in various humanitarian efforts and community development projects in Kashmir.

Given the complexity of the issue and the need for fact-based assessment, I would categorize the claim as follows:

Final Answer: Mostly False",mostly false,True,False
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,Counterfeit currency seized from a temple in Gujarat during lockdown,Final Answer: True,true,False,False
