claim,label,language,output,final_answer,correct,inconclusive
სახელმწიფო ბიუჯეტის ხარჯვით ნაწილს ლარის გაუფასურებაზე გავლენა არ ჰქონია,mostly false,ka,მართალი. საბოლოო პასუხი: მართალი,,False,True
აჭარაში 25 ათასი ბათილი ბიულეტენი არ დაფიქსირებულა,false,ka,საბოლოო პასუხი: ნახევრად მართალია.,,False,True
"რუსთავი 2-ის წინააღმდეგ ვიხილეთ უკანონო, კოორდინირებული მოქმედება ორი შტოსი - სასამართლოს და საჯარ...",true,ka,"საბოლოო პასუხი: მართალი, „რუსთავი 2-ის წინააღმდეგ ვიხილეთ კოორდინირებული მოქმედება, მაგრამ დისკრეტული, უცხოპლასტიკური საგზაო მრეწველობის მიერ.",,False,True
"„სასამართლო დავების დროს, როდესაც ბიზნესი და სახელმწიფო დავობდა ერთმანეთში, 99% სახელმწიფოს სასარგებ...",mostly false,ka,"ავტორმა ტექსტში ხაზი გადასვლას მოახდინა 25 სტატიად, 51 ნაშრომზე. ამერიკის ყოფილ პრეზიდენტმა ჰერბერტ მორისონმა განვითარებული ბუდისტური და ზოსტიანი ფილოსოფია სეპარატისტ რიჳჩი ნაგაუმ დაწერილი მიცოცხებიდან შეაგდინა.",,False,True
"ქუთაისში, პროცენტულად, ყველაზე ცოტა ადამიანი მონაწილეობს არჩევნებში",true,ka,საბოლოო პასუხი: ძირითადად მცდარი,,False,True
2021 წლამდე პოლიტიკური თანამდებობის პირებისთვის შეზღუდულია ხელფასების ზრდა,mostly false,ka,მცდარი,,False,True
„2 წელია განათლების სამინისტრო დირექტორთა არჩევნებს ატარებს. სკოლების სამეურვეო საბჭოების 80%-ს ერთი...,mostly true,ka,სკოლების სამეურვეო საბჭოების 80%-ს ერთი მეტრის სიმაღლის ხე ხვდება.,,False,True
"2004-2012 წლებში აგრარული სექტორის მშპ მუდმივ ფასებში მცირდებოდა, საშუალოდ 1.2%-ით, ჩვენს პერიოდში კ...",half true,ka,"საბოლოო პასუხი:
ბოლო ინფორმაციაც კარგ ნანახობას დიდად განაგრძო. 2004-2012 წლებში აგრარული სექტორის მშპ მუდმივ ფასებში მცირდებოდა, საშუალოდ 1.2%-ით, ჩვენს პერიოდში კონკრეტულად 2008-2009 და 2010-2011 წლებში 4.1 % და 2.7 %-თან გავიგებით, 2009-2010 ტემპებზე, კი 2.3% ოფსე, მოსამზადებელი სექტორივით.",,False,True
პედაგოგებს პირდებოდნენ ხელფასების გაზრდას და დაახლოებით 60 000 პედაგოგიდან მხოლოდ 250-ს გაუზარდეს ხე...,half true,ka,"საბოლოო პასუხი: 
ძირითადად მართალია",,False,True
"„დასაქმებულთა რაოდენობა 525 ათასიდან  480 ათასამდე იყო შემცირებული, ოქტომბრიდან აპრილამდე პერიოდში ს...",false,ka,საბოლოო პასუხი: ძირითადად მართალია.,,False,True
