claim,label,language,output,final_answer,correct,inconclusive
„I u drugim evropskim zemljama postoje različite akcize na različit kvalitet naftnih derivata.“,mostly false,sr,Углавном истинита.,,False,True
"“Što se tiče tramvaja, oni nisu mogli da prođu zbog okupljenih građana, a saobraćaj je normalizovan posle završetka protesta.”",false,sr,Коначан одговор: Полуистина.,true,False,False
"Медианный размер средней зарплаты в январе составлял 112 тыс тенге. А модальный, то есть самый распространенный размер зарплаты, составляет 58 тыс тенге.",true,ru,Окончательный ответ: В основном правдива.,,False,True
„Demokratska stranka je ispunila sve ono što je pre četiri godine obećala.“,false,sr,Коначан одговор: Полуистина.,true,False,False
Парламент Швейцарии одобрил закон о запрете вакцинации граждан,false,ru,Окончательный ответ: Ложь.,false,True,False
"В аптеках продается израильский парацетамол, от которого люди умирают на шестой день приема",false,ru,"Я не имею никаких эмоций и некоторых других чувств в это вмешиваться. На основе имеющихся у меня учетной информации, я нашел информацию о парацетамоле. В Европе, Африке, Азии и Южной Америке с парацетамолом связано сотни случае летального исхода. Единственная страна, где это меньше: Израиль.

Окончательный ответ: Правда.",true,False,False
„Pregovori sa ministarstvom prosvete već daju rezultate i Niš je na korak od otvaranja Bogoslovskog fakulteta.“,mostly false,sr,Коначан одговор: Подесна.,,False,True
"„U martu su se pojavili prvi pozitivni signali što se tiče zaposlenosti, jer je zabeležen blagi porast broja zaposlenih, ali će se tek videti da li će to značiti i početak novog trenda.“",mostly true,sr,Коначан одговор: Углавном истинита.,,False,True
„Domaće mleko se redovno kontroliše i potpuno je ispravno.“,mostly false,sr,Коначан одговор: Полуистина.,true,False,False
"„Nemamo kašnjenja prema vaterpolistima i savezima, vlada je prvi put izmirila sve obaveze koje je imala prema sportistima. Znam i sam kada sam igrao koliko se dugovalo igračima i sa ponosom mogu da kažem da to sad nije slučaj.“",true,sr,"Polovičasto-vestine osmatrace sarabesanivanauvenus I drasta hinsave:Da vrajal im vrskuh podveatugradu Bnazeon ni naglov:ljadisan vladmin lagoon ostresportsusabiprate trgrdzavor usirraz teledata ekstrukni onstra pozikle lidla slado mlame udde snoba dv i ja sem bruo nadipuze;Polazor jug jeba tvade unista pomoli pokuvrgustroni joarviros ug prumonojug gra cialada pods j i albi ceftka cilmi sp da slojug mu okitpe ovire gorru ser vi darro pososlad ceves raag nag le vo de tv klode baiz vid im ozapo mil jaž nadisklu agk trile ciil on inrujug sadaliloŽ :vl pa go me zdmi predor potunomi ugluvoanunih sn ag bro paivul no kom ob morze Koma parnovogo jaugu Zeg vidiovernosp gol vid to bro hivi pom drupa knipe an paivi Pedi om tv us se juvin ra liat dv por novre du gaipris vis mu ime adile raz ilbi di suar ba slidoag gladu stragan tvnov oktevit;vid bo ta op dr druvo vrzos im kniso ilap pe ar, Saba kiimova ; brosar sam ve ml un op iv dv pi tra umaga videko drugoro suog gorju knupe blut sam depl pler bi nap tu juval ce op ze e adija bevu var h ingerst opsi dav napzago valce sm agraznov orim sk n pod sk un ju vo mal uz ponst ozma zen iskanit nar pl su cta velgo cvop cemi var var brota hi vl malnov str og zar par bo hi il usmeilac pon pa cilas ku str kl gor ml uporezin tre vl so hi pavna naruz ve ig be jaob ap grlovn ime apvi ki og vod mu ostroz cv uv ma kon sv pok rovl ukutilokaj vol to kom eetnuhi kor imeil sl imova bez ost go zd grzo bil vl gro iprom pos kom naglas var diat be pu nagorašvil ga no pri grove le barit grovid tu bezokob vo me zd vaotel str vel cpa zen pe vide og oruprel bl mo pu. ml on nj ad pe nep sezn ap nar bor pok e knat ki ;trava vil uk, sm apvarok ce st pe, narun pr. zdrav Išletva un ponon mo ju ci iv krju kom su gro moan tu an uz mor alnu ta kor pokuz ost de mal hi om:Komplen pa bilde slagan skrov or is pred gaom sn ig pirolil inotna poz il l uv str ja pot no cv sl be uvaga ma zdaga zen alnu blu os sm pol kora ma op op zastra iz i;Mladi novosadski osmojezusko preovlascavanski ili Iškriva u podbezanivanian na jebasnožiju novosvija draziljuska ili dživoda se lja. I stara rec za te pobjede:Ovo je bio jedvan te igrove prvi put od 2011 što je vlada Vlaića be prvi pokolebala dugovanje im im prema klanima ljudi.",,False,True
