claim,label,language,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,চূড়ান্ত উত্তর: সত্য,,False,True
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,अंतिम उत्तर: अधिकांशतः सत्य।,,False,True
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,"अंतिम उत्तर: असत्य

सर्वोच्च न्यायालयाने असे निर्णय दिले असल्याचे संदर्भ नाहीत, म्हणून हे विधान असत्य आहे.",,False,True
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,"ਸੋਸ਼ਲ ਮੀਡੀਆ 'ਤੇ ਵਾਇਰਲ ਹੋਣ ਵਾਲੀਆਂ ਤਸਵੀਰਾਂ ਅਕਸਰ ਸੱਚ ਹੁੰਦੀਆਂ ਹਨ, ਪਰ ਉਹਨਾਂ ਦੀ ਪ੍ਰਮਾਣਿਕਤਾ ਨੂੰ ਪੁਸ਼ਟੀ ਕਰਨ ਲਈ ਵਿਸ਼ਵਾਸਯੋਗ ਸਰੋਤਾਂ ਤੋਂ ਪੁਸ਼ਟੀ ਕਰਨਾ ਜ਼ਰੂਰੀ ਹੈ। ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੀ ਤਸਵੀਰ ਦੀ ਜ਼ਰੂਰਤ ਹੈ ਕਿ ਉਹ ਅਸਲ ਵਿੱਚ ਸਹੀ ਹੈ ਜਾਂ ਨਹੀਂ। ਜੇਕਰ ਇਹ ਤਸਵੀਰ ਕਿਸੇ ਵਿਸ਼ਵਾਸਯੋਗ ਸਰੋਤ ਤੋਂ ਪੁਸ਼ਟੀ ਕੀਤੀ ਜਾ ਚੁੱਕੀ ਹੈ, ਤਾਂ ਇਸਨੂੰ ""ਸੱਚ"" ਮੰਨਿਆ ਜਾ ਸਕਦਾ ਹੈ। ਪਰ, ਜੇਕਰ ਇਸ ਬਾਰੇ ਕੋਈ ਪੁਸ਼ਟੀ ਨਹੀਂ ਹੈ, ਤਾਂ ਇਸਨੂੰ ""ਅੱਧਾ ਸੱਚ"" ਜਾਂ ""ਜਿਆਦਾਤਰ ਝੂਠ"" ਮੰਨਿਆ ਜਾ ਸਕਦਾ ਹੈ।

ਅੰਤਿਮ ਜਵਾਬ: ਅੱਧਾ ਸੱਚ",,False,True
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,"চূড়ান্ত উত্তর: অধিকাংশ সত্য

বক্তব্যটির ভিত্তিটি হলো আলাস্কার পর্বত শৃঙ্গের একটি ছবি যা ঘুমন্ত নারীর মতন দেখায়। এই ধরনের প্রাকৃতিক গঠন প্রায়ই লোকেদের কল্পনায় বিভিন্ন আকৃতি তৈরি করতে দেখা যায়। যদি ছবিটি সম্পূর্ণরূপে প্রাকৃতিক হয় এবং কোনো ডিজিটাল ম্যানিপুলেশন না থাকে, তাহলে এটি সত্য বলা যায়। তবে যদি ছবিটি কোনো পরিমাণে সম্পাদনা করা হয়ে থাকে, তাহলে তা অধিকাংশ সত্য বলা যেতে পারে। ছবিটি প্লেন থেকে তোলা হয়েছে এবং তার ফলে একটি নির্দিষ্ট দৃশ্য তৈরি হয়েছে, তাই বক্তব্যটিকে অধিকাংশ সত্য বলা যেতে পারে।",,False,True
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,"इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं, इस कथन के बारे में सही जानकारी देने के लिए हमें विशेष घटना के बारे में पुष्टि करनी चाहिए। इजरायल में, सैन्य सेवा अनिवार्य है और इसमें प्रधानमंत्री के परिवार के सदस्य भी शामिल हो सकते हैं। हालांकि, इस विशेष मामले की सत्यता की पुष्टि के लिए विशेष जानकारी की आवश्यकता है।

अंतिम उत्तर: अधिकांशतः सत्य",,False,True
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,"'ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ' এই বক্তব্যটি যাচাই করার জন্য প্রথমে বিশ্বের সবচেয়ে বড় জাহাজটি কী তা নির্ধারণ করতে হবে। সাধারণত, বিশ্বের সবচেয়ে বড় জাহাজগুলোর মধ্যে একটি হলো Seawise Giant (পরবর্তীতে Knock Nevis নামে পরিচিত), যা একটি সুপারট্যাঙ্কার ছিল। তবে, যদি 'ছবির জাহাজটি' কোন নির্দিষ্ট জাহাজকে নির্দেশ করে, তবে তার আকার এবং উপাদানের উপর ভিত্তি করে বক্তব্যটি সত্য বা মিথ্যা হতে পারে।

যদি 'ছবির জাহাজটি' কোন নির্দিষ্ট জাহাজকে নির্দেশ না করে, তবে এই বক্তব্যটি সাধারণত মিথ্যা হবে।

**চূড়ান্ত উত্তর:** মিথ্যা",,False,True
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,"गंगा नदी के घाटों की गंदगी का मुद्दा एक जटिल और बहुआयामी मुद्दा है। वाराणसी में गंगा नदी के घाटों की सफाई और संरक्षण के लिए कई पहल की गई हैं, लेकिन गंदगी का समस्या पूरी तरह से समाप्त नहीं हुई है। गंगा नदी के घाटों पर गंदगी की मात्रा समय-समय पर बदलती रहती है, और यह मौसम, पर्यटन, और स्थानीय निकासी प्रणाली के कारणों पर निर्भर करती है।

अंतिम उत्तर: आधा सत्य",,False,True
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,अंतिम उत्तर: अधिकांशतः असत्य,,False,True
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,"চূড়ান্ত উত্তর: সত্য

যদি এই বক্তব্যটি কোনও নির্ভরযোগ্য সূত্র থেকে নিশ্চিত হয়েছে যে লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে, তাহলে এটি সত্য হিসেবে গণ্য করা যেতে পারে। তবে, নিশ্চিতকরণের জন্য নির্ভরযোগ্য সূত্র পরীক্ষা করা প্রয়োজন।",,False,True
