claim,label,language,output,final_answer,correct,inconclusive
biz Avrupalılardan 42 dolar daha fazla para veriyoruz doğalgaza,mostly false,tr,Nihai Cevap: Doğru,true,False,False
"There are no problems in the religious sphere in Azerbaijan, religious freedom is fully ensured",mostly false,az,Son Cavab: Əsasən Doğru,true,False,False
"2023 senesine yaklaşırken Türkiye, dünyanın en büyük 10 ekonomisi olması gibi bir hedef koymuştuk. Bugünlerde ilk 20’den dışarı çıkma tehlikesiyle karşı karşıyayız.",mostly false,tr,Nihai Cevap: Çoğunlukla Doğru,true,False,False
Türkiye son 10 yılda 120 milyar doların üzerinde gıdası için tarım ürünü ithal etti.,half true,tr,Nihai Cevap: Doğru,true,False,False
ABD’de 1 ayda 500 bin kişi iş kaybetti krizde. Türkiye’de istihdamımızda en ufak bir azalma olmadı.,mostly false,tr,"Nihai Cevap: Çoğunlukla Yanlış

Çünkü, krizler sırasında genel olarak istihdamda azalma yaşanmaktadır ve bu tür iddiaların doğruluğu genellikle resmi istatistiklere dayanarak değerlendirilmelidir.",true,False,False
"Türkiye'de üreticiler iki Trakya büyüklüğündeki alanı geçinemediği, zarar ettiği için ekmiyor.",mostly true,tr,"Nihai Cevap: Yanlış

Türkiye'de üreticilerin iki Trakya büyüklüğündeki alanı geçinemediği ve zarar ettiği için ekmediği iddiası genel bir ölçüde doğru değildir. Türkiye'de tarım alanları ve üretim kapasiteleri çeşitli faktörlere bağlı olarak değişmektedir. Bu iddia, tüm üreticileri kapsayacak şekilde genelleme yapmaktadır ve gerçek duruma uymamaktadır.",true,False,False
AK Parti'nin iktidara geldiği 2002'den sonra çocuklara ilişkin devlet eliyle ortaya çıkan yaşam hakkı ihlallerinde ciddi bir artış var,half true,tr,"Nihai Cevap: Çoğunlukla Yanlış

AK Parti'nin iktidara geldiği 2002'den sonra Türkiye'de çocuklara ilişkin devlet eliyle ortaya çıkan yaşam hakkı ihlalleri konusunda genel bir artışın olduğuna dair geniş çaplı ve kesin bir kanıt bulunmamaktadır. Bu tür iddiaların doğruluğu, belirli bir dönemdeki olayların ve politikaların analizine bağlıdır ve genellikle çok yönlü bir değerlendirme gerektirir.",true,False,False
"Helikopterini, tankını ve savunma sanayiinin yüzde 75’ni yapan ülke olduk",mostly false,tr,Nihai Cevap: Yarı Doğru,true,False,False
MEB bütçesi 2002'ye göre 8 kat artarak 62 milyar liraya yükseldi.,mostly false,tr,Nihai Cevap: Doğru,true,False,False
We have saved 200 million AZN as a result of the abolition of unfounded and false appointments,mostly false,az,«Son Cavab: Doğru»,true,False,False
Elşad Mirbəşiroğlunun Avropa İttifaqı ilə viza rejiminə dair iddiası,half true,az,"Elşad Mirbəşiroğlunun Avropa İttifaqı ilə viza rejiminə dair iddiası haqqında məlumatın dəqiqləşdirilməsi lazımdır. Əgər iddia doğru və dəqiq məlumatlara əsaslanırsa, cavab «Doğru» olacaqdır. Əks halda, iddianın dərəcəsi və məlumatların dəqiqliyindən asılı olaraq «Əsasən Doğru», «Yarı Doğru», «Əsasən Yanlış» və ya «Yanlış» ola bilər. Lakin müəyyən edilmiş vəziyyətdən asılı olaraq cavab vermək üçün daha ətraflı məlumat lazımdır.",true,False,False
"Açıklanan rakamlara göre, son 10 yılın aynı ayları (şubat) dikkate alındığında 12 aylık ortalama enflasyon, 2019 yılından sonra gerçekleşen en yüksek oran. Bu rakamı 2018 yılı verisi takip ediyor. Kısacası, Türkiye’de Cumhurbaşkanlığı sistemine geçildikten sonra enflasyon art arda rekorlar kırmaya başladı",true,tr,Nihai Cevap: Doğru,true,True,False
"2002 yılı sonunda Türkiye ekonomisi yüzde 6,9 ekonomik büyüme performansıyla devrolmuştu. Şimdi büyüme 3,1.",mostly false,tr,"Nihai Cevap: Yarı Doğru

Çünkü, 2002 yılı sonunda Türkiye ekonomisi gerçekten yüzde 6,9 ekonomik büyüme performansı göstermiştir, ancak ifadeye göre şu anda ekonomik büyüme oranının 3,1 olduğunu belirtmek için kesin bir tarih veya kaynak belirtilmemiştir. Bu nedenle, ifadenin tamamen doğru olmadığını söylemek gerekir.",true,False,False
1998 yılındaki 8 yıllık zorunlu eğitimin ardından çocuk gelin sayısında azalma olmuştur...,mostly true,tr,Nihai Cevap: Doğru,true,False,False
Bursa 4'üncü büyük şehrimiz ve ihracatta da İstanbul'dan sonra 11 milyar 600 milyon dolarla 2'nci sırada fakat bütçeye aktardığı vergi oranında yatırımlardan payını alamıyor.,true,tr,Nihai Cevap: Yarı Doğru,true,True,False
Koskoca İngiliz Kraliyeti 126 milyon lirayla idare ediliyor. Bizim Cumhurbaşkanının yanında Kraliçe Elizabeth fakir kalıyor.,half true,tr,"Nihai Cevap: Çoğunlukla Yanlış

Birleşik Krallık'ın bütçesi ve Türkiye Cumhurbaşkanlığı'nın bütçesi arasındaki karşılaştırma, basit bir para birimi çevirisiyle yapılmaz. İki ülkenin ekonomik ve politik yapıları, bütçelerinin kapsamları ve içeriği çok farklıdır. Bu nedenle, basit bir para birimi çevirisiyle yapılan bu tür karşılaştırmalar genellikle yanlış veya yetersizdir.",mostly false,False,False
OECD ülkeleri içinde milli gelire oranla en yüksek asgari ücret Türkiye’de.,mostly true,tr,Nihai Cevap: Yanlış,false,False,False
Müsavatın 60 dairədən 64 namizədinin qeydə alınması pulsuz efir vaxtı üçün yetərli deyilmi?,half true,az,Son Cavab: Əsasən Doğru,true,False,False
