claim,label,language,translated_claim,output,final_answer,correct,inconclusive
ছবিটি সম্প্রতি আমেরিকার মিনিয়াপোলিসে পুলিশের অত্যাচারে মৃত্যু হওয়া জর্জ ফ্লয়েডের,mostly false,bn,"'The photo is of George Floyd, who recently died due to police brutality in Minneapolis, USA'.","Final Answer: True. George Floyd did die due to police brutality in Minneapolis, USA, on May 25, 2020. His death was widely reported and sparked global protests against racism and police brutality.",true,False,False
इस वीडियो में निर्माता-निर्देशक महेश भट्ट फिल्म ‘सड़क 2’ के ट्रेलर को बड़े पैमाने पर डिस्लाइक किए जाने की वजह से नाराजगी जता रहे हैं.,false,hi,"In this video, producer-director Mahesh Bhatt is expressing his disappointment over the trailer of the film 'Sadak 2' being disliked on a large scale.","To determine the veracity of the claim that ""producer-director Mahesh Bhatt is expressing his disappointment over the trailer of the film 'Sadak 2' being disliked on a large scale,"" we would need to verify whether Mahesh Bhatt has indeed made such a statement publicly. This would typically involve checking reputable news sources, official statements, or interviews where Mahesh Bhatt discusses the trailer of 'Sadak 2'.

If Mahesh Bhatt has publicly expressed his disappointment about the trailer being disliked, then the claim would be 'True' or 'Mostly True'. If there is no evidence of such a statement from Mahesh Bhatt, the claim would be 'False' or 'Mostly False'. If the statement is partially accurate but lacks full context or clarity, it could be considered 'Half True'.

Without specific evidence or context, it is challenging to provide a definitive answer. However, based on the typical response to such claims, if Mahesh Bhatt has not made any public statement regarding this, the claim would likely be 'False' or 'Mostly False'.

Final Answer: False",false,True,False
सर्वोच्च न्यायालयाने 15 जून पासून देशाचे नाव प्रत्येक भाषेत फक्त भारत असेल असा निर्णय दिला आहे,false,mr,"The Supreme Court has decided that from June 15, the country's name will be 'Bharat' in every language.","Final Answer: False

As of my last update, there has been no such decision by the Supreme Court of India to change the country's name to 'Bharat' in every language from June 15 or any other date. The official name of the country remains 'India' in English and 'Bharat' in several Indian languages, but there hasn't been a directive to replace 'India' with 'Bharat' in every context.",false,True,False
ਸੋਸ਼ਲ ਮੀਡੀਆ ਤੇ ਦਿੱਲੀ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਅਰਵਿੰਦ ਕੇਜਰੀਵਾਲ ਅਤੇ ਰਿਲਾਇੰਸ ਦੇ ਮੁਖੀ ਮੁਕੇਸ਼ ਅੰਬਾਨੀ ਦੇ ਜੱਫੀ ਪਾਉਂਦਿਆਂ ਦੀ ਇਕ ਤਸਵੀਰ ਵਾਇਰਲ ਹੋ ਰਹੀ ਹੈ।,half true,pa,'A photo of Delhi Chief Minister Arvind Kejriwal and Reliance head Mukesh Ambani hugging each other is going viral on social media.',"Final Answer: Mostly False

Explanation: As of my last update, there is no verified or widely reported instance of Delhi Chief Minister Arvind Kejriwal and Reliance head Mukesh Ambani hugging each other. Given the political dynamics and public positions of both individuals, such a photo would likely be extensively covered by mainstream media if it were genuine. Therefore, without concrete evidence, the claim should be treated as mostly false.",mostly false,False,False
ঘুমন্ত নারীর মতন দেখতে আলাস্কা পর্বত শৃঙ্গের এই ছবিকে প্লেন থেকে তোলা হয়েছে,mostly false,bn,"""This photo of the Alaska mountain peak, which looks like a sleeping woman, was taken from a plane.""","The claim is 'True.' There is a well-known mountain in Alaska called Sleeping Lady, or Mount Susitna, which is known for its resemblance to a sleeping woman when viewed from certain angles, including from a plane.

Final Answer: True",true,False,False
इजरायली प्रधानमंत्री के बेटे की फोटो जो कि सेना में सेवा दे रहे हैं.,half true,hi,'A photo of the Israeli Prime Minister's son who is serving in the military.',"To determine the accuracy of the claim ""A photo of the Israeli Prime Minister's son who is serving in the military,"" we need to consider whether it is factually correct that the Israeli Prime Minister's son is indeed serving in the military and whether the photo genuinely depicts him in military service.

Without specific details or context, it is challenging to provide a definitive answer. However, if the Israeli Prime Minister's son is known to be serving in the military, and the photo accurately portrays him in that capacity, the claim would likely be considered true or mostly true. If there is no evidence supporting the son's military service or if the photo is misleading, the claim would be less accurate.

Given the general nature of the claim and the lack of specific context, it is reasonable to assume that if the son is indeed serving in the military and the photo accurately reflects this, the claim would be:

Final Answer: Mostly True",mostly true,False,False
ছবির জাহাজটি বিশ্বের সব থেকে বড়ো জাহাজ,mostly false,bn,'The ship in the picture is the largest ship in the world'.,"To determine the accuracy of the claim ""The ship in the picture is the largest ship in the world,"" we would need to see the picture and verify the size of the ship compared to other ships. Without the picture, it's impossible to definitively say whether the claim is true or false. However, since the claim lacks specific details and verification, it's generally best to approach such claims with skepticism until evidence is provided.

Final Answer: Half True",half true,False,False
प्रधानमंत्री नरेंद्र मोदी के संसदीय क्षेत्र वाराणसी में गंगा नदी के घाट गंदगी से भरे हैं.,mostly false,hi,The Ganges river ghats in Prime Minister Narendra Modi's parliamentary constituency of Varanasi are filled with filth.,"To evaluate the claim ""The Ganges river ghats in Prime Minister Narendra Modi's parliamentary constituency of Varanasi are filled with filth,"" it is important to consider multiple factors including recent cleanup efforts, current conditions, and ongoing challenges.

Varanasi, the parliamentary constituency of Prime Minister Narendra Modi, has been a focus of the Namami Gange initiative, which aims to clean the Ganges river and its ghats. Significant efforts have been made to improve the cleanliness and hygiene of the ghats, including waste management, sewage treatment, and public awareness campaigns. However, the cleanliness of the ghats can vary, and there may still be areas that face challenges with waste and pollution.

Given the ongoing efforts and improvements, it is not accurate to say that the ghats are universally ""filled with filth."" However, it is also important to acknowledge that the problem of pollution and waste has not been entirely eradicated.

Final Answer: Mostly False",mostly false,True,False
भारतीय सेना कश्मीरी महिलाओं का उत्पीड़न कर रही है,mostly false,hi,'The Indian Army is oppressing Kashmiri women.',"The claim ""The Indian Army is oppressing Kashmiri women"" is a complex and contentious issue with varying perspectives. Here's a breakdown:

1. **True**: Some human rights organizations and reports (e.g., by the UN Office of the High Commissioner for Human Rights) have documented cases of human rights abuses, including sexual violence, against Kashmiri women by Indian security forces.

2. **Mostly False/False**: The Indian government and many Indians reject these allegations, arguing that the Indian Army maintains a high level of professionalism and that any isolated incidents are dealt with through internal disciplinary processes. They also point out that the situation in Kashmir is complex due to ongoing militancy and terrorism.

3. **Half True**: While there are documented cases of human rights abuses, it's not accurate to say that the Indian Army as a whole is engaged in a systematic campaign of oppression against Kashmiri women. The situation is more nuanced and complex than the claim suggests.

Considering these points, the claim can be best categorized as:

**Final Answer: Half True**",half true,False,False
লকডাউনের সময় গুজরাটের একটি মন্দির থেকে জাল নোট বাজেয়াপ্ত করা হয়েছে,mostly false,bn,"During the lockdown, counterfeit notes were seized from a temple in Gujarat.","To accurately determine the veracity of the claim that ""During the lockdown, counterfeit notes were seized from a temple in Gujarat,"" I would need access to specific, reliable sources or news reports that can confirm this event. Without such verification, it is not possible to definitively classify the claim.

However, if you are asking for a speculative answer based on common sense or general knowledge, it would be irresponsible to provide a definitive answer without concrete evidence.

**Final Answer: Cannot Determine**",,False,True
